Quarter,Time,Down,ToGo,Location,TEN,SDG,Detail,EPB,EPA
2,1:28,1,10,TEN 49,3,0,"Chris Brown left end for no gain (tackle by Stephen Cooper and Marlon McCree). Penalty on Ben Troupe: Offensive Holding, 10 yards (no play)",2.190,1.530
2,1:20,1,20,TEN 39,3,0,Vince Young right end for 3 yards (tackle by Shaun Phillips),1.530,0.700
2,0:51,2,17,TEN 42,3,0,Vince Young pass complete short right to Eric Moulds for 10 yards (tackle by Quentin Jammer),0.700,1.360
2,0:46,3,7,SDG 48,3,0,Vince Young pass complete short left to Biren Ealy for 8 yards (tackle by Antonio Cromartie),1.360,2.920
2,0:38,,,,3,0,Timeout #2 by Tennessee Titans,0.000,2.920
2,0:38,1,10,SDG 40,3,0,Vince Young pass complete to Eric Moulds for 6 yards (tackle by Drayton Florence),2.920,3.180
2,0:32,2,4,SDG 34,3,0,Vince Young pass complete short right to Ben Troupe for 5 yards (tackle by Clinton Hart),3.180,3.640
2,0:15,1,10,SDG 29,3,0,Vince Young spiked the ball,3.640,3.100
2,0:15,2,10,SDG 29,3,0,LenDale White up the middle for 3 yards (tackle by Stephen Cooper and Shaun Phillips),3.100,2.810
2,0:03,,,,3,0,Timeout #3 by Tennessee Titans,0.000,2.810
2,0:03,3,7,SDG 26,6,0,Rob Bironas 44 yard field goal good,2.810,3.000
Quarter,Time,Down,ToGo,Location,TEN,SDG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 30,6,0,"Rob Bironas kicks off 68 yards, returned by Darren Sproles for 22 yards (tackle by Rich Scanlon). Penalty on SDG: Illegal Block Above the Waist, 12 yards",0.000,-0.350
3,14:50,1,10,SDG 12,6,0,LaDainian Tomlinson left end for 4 yards (tackle by Keith Bulluck),-0.350,-0.370
3,14:25,2,6,SDG 16,6,0,LaDainian Tomlinson up the middle for no gain (tackle by Albert Haynesworth),-0.370,-0.950
3,13:55,3,6,SDG 16,6,0,Philip Rivers pass complete deep middle to Chris Chambers for 19 yards (tackle by Calvin Lowry),-0.950,1.270
3,13:37,1,10,SDG 35,6,0,LaDainian Tomlinson up the middle for 1 yard (tackle by Keith Bulluck and Kyle Vanden Bosch),1.270,0.860
3,13:03,2,9,SDG 36,6,0,Philip Rivers pass incomplete short right intended for Chris Chambers,0.860,0.170
3,12:58,3,9,SDG 36,6,0,Philip Rivers pass complete deep right to Vincent Jackson for 34 yards (tackle by Michael Griffin),0.170,3.580
3,12:19,1,10,TEN 30,6,0,LaDainian Tomlinson left end for no gain (tackle by Cortland Finnegan),3.580,3.030
3,11:47,2,10,TEN 30,6,0,Philip Rivers pass complete deep left to Chris Chambers for 19 yards. Penalty on Kyle Vanden Bosch: Defensive Offside (Declined),3.030,4.840
3,11:26,1,10,TEN 11,6,0,Philip Rivers pass complete short left to Chris Chambers for 7 yards (tackle by Cortland Finnegan),4.840,5.470
3,11:07,2,3,TEN 4,6,0,LaDainian Tomlinson up the middle for -1 yards (tackle by Albert Haynesworth),5.470,4.440
3,10:30,,,,6,0,Timeout #1 by San Diego Chargers,0.000,4.440
3,10:30,3,4,TEN 5,6,0,Philip Rivers pass complete short left to Vincent Jackson for 3 yards (tackle by Vincent Fuller),4.440,3.250
3,9:45,4,1,TEN 2,6,3,Nate Kaeding 20 yard field goal good,3.250,3.000
3,,,,SDG 30,6,3,"Dave Rayner kicks off 60 yards, returned by Chris J. Henry for 14 yards (tackle by Brandon Siler)",0.000,-0.540
3,9:36,1,10,TEN 24,6,3,Vince Young pass complete short right to Chris Davis for 4 yards (tackle by Drayton Florence),0.540,0.540
3,9:19,2,6,TEN 28,6,3,LenDale White up the middle for 4 yards (tackle by Matt Wilhelm and Jamal Williams),0.540,0.370
3,8:39,3,2,TEN 32,6,3,Vince Young pass complete short right to Ben Hartsock for 4 yards (tackle by Matt Wilhelm),0.370,1.330
3,8:01,1,10,TEN 36,6,3,LenDale White left tackle for 4 yards (tackle by Shaun Phillips and Igor Olshansky),1.330,1.330
3,7:27,2,6,TEN 40,6,3,Chris J. Henry up the middle for no gain (tackle by Clinton Hart and Stephen Cooper),1.330,0.630
3,6:47,3,6,TEN 40,6,3,Vince Young pass incomplete deep left intended for Justin Gage,0.630,-0.720
3,6:40,4,6,TEN 40,6,3,"Craig Hentrich punts 40 yards, returned by Darren Sproles for 2 yards (tackle by Donnie Nickey)",-0.720,-0.410
3,6:29,1,10,SDG 22,6,3,Philip Rivers pass complete deep left to Vincent Jackson for 20 yards (tackle by Cortland Finnegan),0.410,1.730
3,5:53,1,10,SDG 42,6,3,Philip Rivers pass complete short right to LaDainian Tomlinson for 5 yards (tackle by Michael Griffin),1.730,1.860
3,5:23,2,5,SDG 47,6,3,LaDainian Tomlinson left end for 1 yard (tackle by Stephen Tulloch),1.860,1.290
3,4:39,3,4,SDG 48,6,3,Philip Rivers pass complete short left to LaDainian Tomlinson for 5 yards (tackle by Michael Griffin),1.290,2.460
3,4:16,1,10,TEN 47,6,3,Michael Turner up the middle for 3 yards (tackle by Kyle Vanden Bosch and David Thornton),2.460,2.320
3,3:39,2,7,TEN 44,6,3,"Penalty on Albert Haynesworth: Unnecessary Roughness, 15 yards, Penalty on Albert Haynesworth: Encroachment (Declined) (no play)",2.320,3.640
3,3:23,1,10,TEN 29,6,3,LaDainian Tomlinson right tackle for 4 yards (tackle by Michael Griffin),3.640,3.640
3,2:43,2,6,TEN 25,6,9,"Philip Rivers pass complete deep right to Vincent Jackson for 25 yards, touchdown",3.640,7.000
3,,,,TEN 2,6,10,Nate Kaeding kicks extra point good,0.000,0.000
3,,,,SDG 30,6,10,"Dave Rayner kicks off 63 yards, returned by Chris J. Henry for 19 yards (tackle by Clinton Hart)",0.000,-0.670
3,2:29,1,10,TEN 26,6,10,Vince Young pass complete deep right to Ben Troupe for 26 yards (tackle by Clinton Hart),0.670,2.390
3,2:03,1,10,SDG 48,6,10,Chris Davis right end for 11 yards (tackle by Quentin Jammer),2.390,3.120
3,1:23,1,10,SDG 37,6,10,Vince Young pass complete short right to Ben Hartsock for 6 yards (tackle by Stephen Cooper),3.120,3.380
3,0:48,2,4,SDG 31,6,10,LenDale White up the middle for 3 yards (tackle by Shaun Phillips and Marlon McCree),3.380,3.070
3,0:11,3,1,SDG 28,6,10,Ahmard Hall right end for 11 yards (tackle by Marlon McCree),3.070,4.440
Quarter,Time,Down,ToGo,Location,TEN,SDG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SDG 17,6,10,LenDale White up the middle for -3 yards (tackle by Shaun Phillips),4.440,3.490
4,14:18,2,13,SDG 20,6,10,Vince Young pass incomplete short middle intended for Ahmard Hall,3.490,2.810
4,14:13,3,13,SDG 20,6,10,Vince Young pass incomplete short right intended for Ahmard Hall,2.810,2.120
4,14:07,4,13,SDG 20,6,10,Rob Bironas 38 yard field goal no good,2.120,-0.810
4,14:03,1,10,SDG 28,6,10,LaDainian Tomlinson left end for no gain (tackle by Albert Haynesworth and Kyle Vanden Bosch),0.810,0.260
4,13:28,2,10,SDG 28,6,10,LaDainian Tomlinson up the middle for 12 yards (tackle by David Thornton),0.260,1.600
4,12:50,1,10,SDG 40,6,10,LaDainian Tomlinson right end for 4 yards (tackle by Keith Bulluck),1.600,1.590
4,12:25,2,6,SDG 44,6,10,Philip Rivers pass incomplete deep left intended for Chris Chambers,1.590,0.890
4,12:20,3,6,SDG 44,6,10,Philip Rivers pass complete short left to Brandon Manumaleuna for 9 yards (tackle by Keith Bulluck),0.890,2.460
4,11:35,1,10,TEN 47,6,10,Philip Rivers pass incomplete short left intended for Legedu Naanee,2.460,1.910
4,11:30,2,10,TEN 47,6,10,Philip Rivers pass incomplete short left intended for Vincent Jackson,1.910,1.220
4,11:27,3,10,TEN 47,6,10,Philip Rivers pass complete deep left to Chris Chambers for 39 yards (tackle by Keith Bulluck),1.220,5.370
4,10:32,,,,6,10,Timeout #2 by San Diego Chargers,0.000,5.370
4,10:32,1,8,TEN 8,6,10,LaDainian Tomlinson right end for -2 yards (tackle by Stephen Tulloch),5.370,4.190
4,9:51,2,10,TEN 10,6,10,Philip Rivers pass incomplete short right intended for LaDainian Tomlinson,4.190,3.130
4,9:47,3,10,TEN 10,6,10,Philip Rivers pass complete short middle to LaDainian Tomlinson for 9 yards (tackle by Vincent Fuller),3.130,3.550
,,,,,,,"SDG challenged the runner broke the plane ruling, and the play was upheld.",,
4,8:49,4,1,TEN 1,6,16,"LaDainian Tomlinson up the middle for 1 yard, touchdown",3.550,7.000
,,,,,,,"TEN challenged the runner broke the plane ruling, and the play was upheld.",,
4,,,,TEN 2,6,17,Nate Kaeding kicks extra point good,0.000,0.000
4,,,,SDG 30,6,17,"Dave Rayner kicks off 67 yards, returned by Chris J. Henry for 17 yards (tackle by Cletis Gordon)",0.000,-0.280
4,8:37,1,10,TEN 20,6,17,Vince Young pass incomplete short left intended for Chris Davis,0.280,-0.270
4,8:32,2,10,TEN 20,6,17,Vince Young sacked by Shawne Merriman for -4 yards,-0.270,-1.690
4,8:03,3,14,TEN 16,6,17,Vince Young sacked by Luis Castillo for -2 yards,-1.690,-2.470
4,7:33,4,16,TEN 14,6,17,"Craig Hentrich punts 43 yards, fair catch by Darren Sproles",-2.470,-1.800
4,7:28,1,10,SDG 43,6,17,LaDainian Tomlinson up the middle for no gain (tackle by Albert Haynesworth),1.800,1.250
4,6:45,2,10,SDG 43,6,17,LaDainian Tomlinson left end for 12 yards (tackle by David Thornton),1.250,2.590
4,5:57,1,10,TEN 45,6,17,Michael Turner left tackle for 11 yards (tackle by Calvin Lowry and Keith Bulluck),2.590,3.310
4,5:12,1,10,TEN 34,6,17,Michael Turner left end for -1 yards (tackle by Tony Brown),3.310,2.640
4,4:28,2,11,TEN 35,6,17,"Michael Turner for 5 yards (tackle by Michael Griffin). Penalty on Vincent Jackson: Offensive Holding, 10 yards",2.640,1.960
4,4:21,2,16,TEN 40,6,17,Michael Turner up the middle for no gain (tackle by Antwan Odom),1.960,1.290
4,4:13,,,,6,17,Timeout #2 by Tennessee Titans,0.000,1.290
4,4:13,3,16,TEN 40,6,17,Michael Turner left end for 3 yards (tackle by David Thornton and Cortland Finnegan),1.290,0.790
4,4:00,,,,6,17,Timeout #3 by Tennessee Titans,0.000,0.790
4,4:00,4,13,TEN 37,6,17,Mike Scifres punts 31 yards,0.790,0.380
4,3:56,1,10,TEN 6,6,17,"Vince Young pass complete short left to Eric Moulds for 8 yards. Penalty on Eric Moulds: Illegal Touch Pass, 3 yards (no play)",-0.380,-0.490
4,3:49,1,13,TEN 3,6,17,"Penalty on Michael Roos: False Start, 1 yards (no play)",-0.490,-0.530
4,3:49,1,14,TEN 2,6,17,Vince Young pass complete short right to Ben Hartsock for 6 yards (tackle by Quentin Jammer),-0.530,-0.630
4,3:44,2,8,TEN 8,6,17,"Vince Young pass incomplete deep middle intended for Chris Davis is intercepted by Drayton Florence at TEN-29 and returned for 10 yards (tackle by Daniel Loper). Penalty on Marlon McCree: Low Block, 15 yards",-0.630,-3.310
4,3:33,1,10,TEN 34,6,17,Michael Turner up the middle for no gain (tackle by Calvin Lowry),3.310,2.770
4,2:47,2,10,TEN 34,6,17,Michael Turner left tackle for 5 yards (tackle by Colin Allred and Stephen Tulloch),2.770,2.740
4,2:00,3,5,TEN 29,6,17,"Penalty on Albert Haynesworth: Neutral Zone Infraction, 4 yards (no play)",2.740,3.270
4,2:00,3,1,TEN 25,6,17,Michael Turner left end for 2 yards (tackle by Albert Haynesworth),3.270,4.040
4,1:09,1,10,TEN 23,6,17,Philip Rivers kneels for -1 yards,4.040,3.360
4,0:27,2,11,TEN 24,6,17,Philip Rivers kneels for -1 yards,3.360,2.540
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
