Quarter,Time,Down,ToGo,Location,OAK,DAL,Detail,EPB,EPA
1,1:42,2,13,OAK 14,0,0,Tony Romo pass complete short right to Felix Jones for -4 yards (tackle by Trevor Scott),3.690,2.680
1,0:55,3,17,OAK 18,0,0,Tony Romo pass incomplete short right intended for Jason Witten,2.680,2.250
1,0:44,4,17,OAK 18,0,3,Nick Folk 36 yard field goal good,2.250,3.000
1,,,,DAL 30,0,3,"David Buehler kicks off 75 yards, touchback",0.000,0.280
1,0:39,1,10,OAK 20,0,3,Justin Fargas right tackle for 7 yards (tackle by Keith Brooking),0.280,0.680
Quarter,Time,Down,ToGo,Location,OAK,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,OAK 27,0,3,Justin Fargas left guard for 4 yards (tackle by Jay Ratliff),0.680,1.000
2,14:16,1,10,OAK 31,0,3,Bruce Gradkowski pass incomplete deep left intended for Darrius Heyward-Bey,1.000,0.460
2,14:09,2,10,OAK 31,0,3,Justin Fargas left tackle for -2 yards (tackle by Jay Ratliff),0.460,-0.490
2,13:28,3,12,OAK 29,0,3,Bruce Gradkowski pass incomplete deep left intended for Louis Murphy (defended by Alan Ball),-0.490,-1.440
2,13:22,4,12,OAK 29,0,3,"Shane Lechler punts 66 yards, returned by Patrick Crayton for 6 yards (tackle by Trevor Scott)",-1.440,0.370
2,13:09,1,10,DAL 11,0,3,Tony Romo pass incomplete short right intended for Roy Williams (defended by Chris Johnson),-0.370,-0.780
2,13:04,2,10,DAL 11,0,3,Tashard Choice left tackle for -1 yards (tackle by Sam Williams),-0.780,-1.540
2,12:19,3,11,DAL 10,0,3,Tony Romo pass complete short middle to Miles Austin for 11 yards (tackle by Michael Huff),-1.540,0.340
2,11:53,1,10,DAL 21,0,3,Felix Jones left tackle for 6 yards (tackle by Trevor Scott),0.340,0.610
2,11:15,2,4,DAL 27,0,3,Tony Romo pass complete short left to Miles Austin for 27 yards (tackle by Chris Johnson),0.610,2.520
2,10:58,1,10,OAK 46,0,9,"Felix Jones middle for 46 yards, touchdown",2.520,7.000
2,,,,OAK 2,0,10,Nick Folk kicks extra point good,0.000,0.000
2,,,,DAL 30,0,10,"David Buehler kicks off 68 yards, returned by Gary Russell for 15 yards (tackle by Michael Hamlin)",0.000,-0.060
2,10:43,1,10,OAK 17,0,10,Justin Fargas right tackle for 2 yards (tackle by Jay Ratliff),-0.060,-0.250
2,10:13,2,8,OAK 19,0,10,Bruce Gradkowski pass incomplete short left intended for Chaz Schilens,-0.250,-1.000
2,10:08,3,8,OAK 19,0,10,Bruce Gradkowski for 8 yards (tackle by Keith Brooking),-1.000,0.740
2,9:44,1,10,OAK 27,0,10,Darren McFadden middle for 2 yards (tackle by Keith Brooking),0.740,0.470
2,9:05,2,8,OAK 29,0,10,Bruce Gradkowski pass incomplete deep right intended for Darrius Heyward-Bey,0.470,-0.230
2,8:59,,,,0,10,Timeout #1 by Oakland Raiders,0.000,-0.230
2,8:59,3,8,OAK 29,0,10,Bruce Gradkowski sacked by Anthony Spencer for -5 yards,-0.230,-1.770
2,8:35,4,13,OAK 24,0,10,"Shane Lechler punts 69 yards, returned by Patrick Crayton for 21 yards (tackle by Sam Williams)",-1.770,-0.810
2,8:22,1,10,DAL 28,0,10,Tony Romo pass complete short right to Marion Barber for 42 yards (tackle by Kirk Morrison),0.810,3.580
2,8:22,1,10,OAK 30,0,10,"Penalty on Flozell Adams: False Start, 5 yards (no play)",3.580,3.250
2,7:30,1,15,OAK 35,0,10,Tony Romo pass incomplete deep right intended for Miles Austin,3.250,2.360
2,7:23,2,15,OAK 35,0,10,Tony Romo pass complete short left to Roy Williams for 9 yards (tackle by Nnamdi Asomugha),2.360,2.870
2,6:34,3,6,OAK 26,0,10,Tony Romo sacked by Trevor Scott for -5 yards,2.870,1.320
2,6:04,4,11,OAK 31,0,10,Nick Folk 49 yard field goal no good,1.320,-1.600
2,5:58,1,10,OAK 40,0,10,Darren McFadden left guard for no gain (tackle by Bradie James),1.600,1.050
2,5:24,2,10,OAK 40,0,10,Bruce Gradkowski pass complete short right to Luke Lawton for 1 yard (tackle by Gerald Sensabaugh),1.050,0.500
2,4:42,3,9,OAK 41,0,10,Bruce Gradkowski pass incomplete (defended by DeMarcus Ware),0.500,-0.650
2,4:33,4,9,OAK 41,0,10,"Shane Lechler punts 59 yards, touchback",-0.650,-0.280
2,4:28,1,10,DAL 20,0,10,"Marion Barber middle for 2 yards (tackle by Thomas Howard). Penalty on Gerard Warren: Face Mask (15 Yards), 15 yards",0.280,1.400
2,3:51,1,10,DAL 37,0,10,Tony Romo pass complete short left to Miles Austin for 20 yards (tackle by Stanford Routt),1.400,2.720
2,3:26,1,10,OAK 43,0,10,Marion Barber middle for no gain (tackle by Gerard Warren),2.720,2.180
2,2:48,2,10,OAK 43,0,10,Tony Romo pass complete short middle to Jason Witten for 21 yards (tackle by Michael Huff),2.180,4.110
2,2:00,1,10,OAK 22,0,10,Tony Romo pass complete short middle to Miles Austin for 14 yards (tackle by Chris Johnson),4.110,5.370
,,,,,,,"Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned.",,
2,1:13,1,8,OAK 8,0,10,Tony Romo pass complete short left to Marion Barber for -1 yards (tackle by Nnamdi Asomugha),5.370,4.380
2,0:38,2,9,OAK 9,0,16,"Tony Romo pass complete short right to Miles Austin for 9 yards, touchdown",4.380,7.000
2,,,,OAK 2,0,17,Nick Folk kicks extra point good,0.000,0.000
2,,,,DAL 30,0,17,"David Buehler kicks off 54 yards, returned by Tony Stewart for 11 yards (tackle by Sam Hurd)",0.000,0.740
2,0:31,1,10,OAK 27,0,17,Bruce Gradkowski pass complete short right to Darren McFadden for 4 yards (tackle by Orlando Scandrick),0.740,0.740
2,0:14,,,,0,17,Timeout #2 by Oakland Raiders,0.000,0.740
2,0:14,2,6,OAK 31,0,17,Bruce Gradkowski pass incomplete short right intended for Chaz Schilens,0.740,0.040
2,0:09,3,6,OAK 31,0,17,Bruce Gradkowski pass complete deep left to Louis Murphy for 17 yards,0.040,2.130
2,0:04,,,,0,17,Timeout #1 by Dallas Cowboys,0.000,2.130
2,0:04,1,10,OAK 48,0,17,"Bruce Gradkowski sacked by DeMarcus Ware for -3 yards. Bruce Gradkowski fumbles (forced by DeMarcus Ware), recovered by Jay Ratliff at DAL-47",2.130,0.000
Quarter,Time,Down,ToGo,Location,OAK,DAL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 30,0,17,"Sebastian Janikowski kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,DAL 20,0,17,Tony Romo pass complete deep left to Jason Witten for 37 yards (tackle by Tyvon Branch and Sam Williams),0.280,2.720
3,14:17,1,10,OAK 43,0,17,Marion Barber left guard for no gain (tackle by Sam Williams),2.720,2.180
3,13:41,2,10,OAK 43,0,17,Tony Romo sacked by Trevor Scott for -5 yards,2.180,0.830
3,13:07,3,15,OAK 48,0,17,Tony Romo pass incomplete short middle intended for Jason Witten (defended by Tyvon Branch),0.830,0.070
3,13:00,4,15,OAK 48,0,17,"Mat McBriar punts 36 yards, fair catch by Johnnie Lee Higgins",0.070,0.350
3,12:53,1,10,OAK 12,0,17,Bruce Gradkowski pass complete short left to Zach Miller for 9 yards (tackle by Bradie James and Anthony Spencer),-0.350,0.420
3,12:14,2,1,OAK 21,0,17,Justin Fargas right tackle for 2 yards (tackle by Jay Ratliff),0.420,0.480
3,11:39,1,10,OAK 23,0,17,Darren McFadden left tackle for 2 yards (tackle by Igor Olshansky and Jay Ratliff),0.480,0.200
3,10:57,2,8,OAK 25,0,17,Bruce Gradkowski pass complete short right to Darren McFadden for 16 yards (tackle by Keith Brooking and Gerald Sensabaugh),0.200,1.660
3,10:19,1,10,OAK 41,0,17,Michael Bush middle for 7 yards (tackle by Gerald Sensabaugh and Bradie James),1.660,2.070
3,9:42,2,3,OAK 48,0,17,Michael Bush left tackle for no gain (tackle by Igor Olshansky),2.070,1.360
3,8:56,3,3,OAK 48,0,17,Bruce Gradkowski pass complete short left to Zach Miller for 28 yards (tackle by Gerald Sensabaugh),1.360,3.970
3,8:33,1,10,DAL 24,0,17,"Bruce Gradkowski pass complete deep right to Louis Murphy for 23 yards. Penalty on Robert Gallery: Chop Block, 15 yards (no play)",3.970,2.980
3,8:01,1,25,DAL 39,0,17,Bruce Gradkowski pass complete short middle to Zach Miller for 12 yards (tackle by Keith Brooking and Anthony Spencer),2.980,3.030
3,7:15,2,13,DAL 27,0,17,Bruce Gradkowski right end for 21 yards (tackle by Terence Newman),3.030,5.830
3,6:30,1,6,DAL 6,0,17,Justin Fargas middle for 2 yards (tackle by Marcus Spears and Bradie James),5.830,5.340
3,5:44,2,4,DAL 4,6,17,"Bruce Gradkowski pass complete short left to Darrius Heyward-Bey for 4 yards, touchdown",5.340,7.000
3,,,,DAL 2,7,17,Sebastian Janikowski kicks extra point good,0.000,0.000
3,,,,OAK 30,7,17,"Sebastian Janikowski kicks off 76 yards, touchback",0.000,0.280
3,5:37,1,10,DAL 20,7,17,Felix Jones right tackle for 8 yards (tackle by Matt Shaughnessy),0.280,0.810
3,5:05,2,2,DAL 28,7,17,Felix Jones right guard for 1 yard (tackle by Gerard Warren),0.810,0.230
3,4:24,3,1,DAL 29,7,17,Marion Barber middle for 1 yard (tackle by Richard Seymour),0.230,0.940
3,3:40,1,10,DAL 30,7,17,Tony Romo pass complete short middle to Miles Austin for 15 yards (tackle by Chris Johnson),0.940,1.930
3,3:01,1,10,DAL 45,7,17,Tony Romo pass incomplete deep right intended for Jason Witten,1.930,1.380
3,2:54,2,10,DAL 45,7,17,Felix Jones middle for 3 yards (tackle by Thomas Howard),1.380,1.090
3,2:09,3,7,DAL 48,7,17,Tony Romo pass complete short left to Jason Witten for 1 yard (tackle by Kirk Morrison),1.090,-0.130
3,1:35,4,6,DAL 49,7,17,"Mat McBriar punts 45 yards, returned by Johnnie Lee Higgins for 3 yards (tackle by Deon Anderson). Penalty on Tony Stewart: Illegal Block Above the , 5 yards",-0.130,0.380
3,1:22,1,10,OAK 4,7,17,Bruce Gradkowski pass incomplete short right intended for Tony Stewart (defended by Anthony Spencer),-0.380,-0.780
3,1:16,2,10,OAK 4,7,17,Justin Fargas left tackle for 3 yards (tackle by Bradie James),-0.780,-1.070
3,0:32,3,7,OAK 7,7,17,Bruce Gradkowski pass complete short left to Justin Fargas for 4 yards (tackle by Anthony Spencer),-1.070,-2.490
Quarter,Time,Down,ToGo,Location,OAK,DAL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,3,OAK 11,7,17,"Shane Lechler punts 44 yards, muffed catch by Kevin Ogletree, recovered by Kevin Ogletree and returned for no gain",-2.490,-2.130
4,14:53,1,10,DAL 48,7,17,Tony Romo pass complete short left to Jason Witten for 44 yards (tackle by Thomas Howard),2.130,5.370
4,14:02,1,8,OAK 8,7,17,Tashard Choice middle for 2 yards (tackle by Jay Richardson),5.370,4.950
4,13:18,2,6,OAK 6,7,23,"Tony Romo pass complete short middle to Roy Williams for 6 yards, touchdown",4.950,7.000
4,,,,OAK 2,7,24,Nick Folk kicks extra point good,0.000,0.000
4,,,,DAL 30,7,24,"David Buehler kicks off 75 yards, touchback",0.000,0.280
4,13:12,1,10,OAK 20,7,24,Bruce Gradkowski pass incomplete deep right intended for Darren McFadden (defended by Gerald Sensabaugh),0.280,-0.270
4,13:04,2,10,OAK 20,7,24,Michael Bush left tackle for 1 yard (tackle by Jason Hatcher),-0.270,-0.820
4,12:21,3,9,OAK 21,7,24,Bruce Gradkowski pass complete short middle to Louis Murphy for 5 yards (tackle by Orlando Scandrick),-0.820,-1.630
4,11:43,4,4,OAK 26,7,24,"Shane Lechler punts 51 yards, returned by Patrick Crayton for 5 yards (tackle by Jonathan Holland)",-1.630,-0.810
4,11:31,1,10,DAL 28,7,24,Felix Jones left end for -3 yards (tackle by Richard Seymour),0.810,-0.140
4,10:45,2,13,DAL 25,7,24,"Tony Romo pass incomplete short left intended for Marion Barber. Penalty on Kyle Kosier: Offensive Holding, 10 yards (no play)",-0.140,-1.640
4,10:39,2,23,DAL 15,7,24,Tony Romo pass incomplete short left intended for Marion Barber. Penalty on Kyle Kosier: Ineligible Downfield Pas (Declined),-1.640,-2.640
4,10:35,3,23,DAL 15,7,24,Tony Romo pass complete short right to Jason Witten for 4 yards (tackle by Kirk Morrison),-2.640,-2.140
4,9:56,4,19,DAL 19,7,24,"Mat McBriar punts 52 yards, returned by Johnnie Lee Higgins for 2 yards (tackle by Pat Watkins)",-2.140,-1.000
4,9:44,1,10,OAK 31,7,24,Bruce Gradkowski sacked by Anthony Spencer for -14 yards,1.000,-1.570
4,9:09,2,24,OAK 17,7,24,Bruce Gradkowski pass complete short right to Chaz Schilens for 15 yards (tackle by Gerald Sensabaugh),-1.570,-0.100
4,8:33,3,9,OAK 32,7,24,Bruce Gradkowski pass incomplete deep left intended for Louis Murphy (defended by Orlando Scandrick),-0.100,-1.240
4,8:26,4,9,OAK 32,7,24,Shane Lechler punts 57 yards,-1.240,0.370
4,8:12,1,10,DAL 11,7,24,Marion Barber left tackle for 4 yards (tackle by Richard Seymour and Kirk Morrison),-0.370,-0.430
4,7:30,2,6,DAL 15,7,24,Tony Romo pass incomplete short right intended for Miles Austin,-0.430,-0.950
4,7:30,3,6,DAL 15,7,24,"Penalty on Richard Seymour: Defensive Offside, 5 yards (no play)",-0.950,-0.370
4,7:26,3,1,DAL 20,7,24,Marion Barber right tackle for 32 yards (tackle by Trevor Scott),-0.370,2.390
4,6:33,1,10,OAK 48,7,24,Marion Barber right guard for 1 yard (tackle by Tyvon Branch),2.390,1.980
4,5:47,2,9,OAK 47,7,24,Marion Barber right tackle for 1 yard (tackle by Jay Richardson),1.980,1.420
4,5:01,3,8,OAK 46,7,24,Tony Romo pass complete short right to Felix Jones for 5 yards (tackle by Jay Richardson),1.420,0.530
4,4:52,,,,7,24,Timeout #1 by Oakland Raiders,0.000,0.530
4,4:52,4,3,OAK 41,7,24,"Mat McBriar punts 28 yards, fair catch by Johnnie Lee Higgins",0.530,0.320
4,4:45,1,10,OAK 13,7,24,Bruce Gradkowski pass complete short left to Zach Miller for 5 yards (tackle by Mike Jenkins),-0.320,-0.140
4,4:17,2,5,OAK 18,7,24,Bruce Gradkowski pass complete short left to Zach Miller for 19 yards (tackle by Anthony Spencer),-0.140,1.400
4,4:07,1,10,OAK 37,7,24,Bruce Gradkowski pass incomplete short left intended for Louis Murphy,1.400,0.860
4,4:03,2,10,OAK 37,7,24,Bruce Gradkowski pass incomplete deep left intended for Darrius Heyward-Bey,0.860,0.170
4,3:57,3,10,OAK 37,7,24,Bruce Gradkowski pass complete deep left to Darrius Heyward-Bey for 17 yards (tackle by Mike Jenkins),0.170,2.520
4,3:28,1,10,DAL 46,7,24,Bruce Gradkowski pass complete short right to Darren McFadden for 7 yards (tackle by Keith Brooking),2.520,2.920
4,2:54,2,3,DAL 39,7,24,Bruce Gradkowski pass complete deep right to Chaz Schilens for 17 yards (tackle by Gerald Sensabaugh),2.920,4.110
4,2:19,1,10,DAL 22,7,24,Darren McFadden middle for 3 yards (tackle by Stephen Bowen),4.110,3.970
4,2:09,,,,7,24,Timeout #2 by Oakland Raiders,0.000,3.970
4,2:09,2,7,DAL 19,7,24,Bruce Gradkowski middle for 1 yard (tackle by Anthony Spencer),3.970,3.400
4,2:00,3,6,DAL 18,7,24,Bruce Gradkowski pass incomplete deep right intended for Louis Murphy (defended by Terence Newman),3.400,2.270
4,1:54,4,6,DAL 18,7,24,Bruce Gradkowski pass incomplete short left intended for Louis Murphy,2.270,-0.040
4,1:49,1,10,DAL 18,7,24,Marion Barber middle for 3 yards (tackle by Kirk Morrison),0.040,0.010
4,1:44,,,,7,24,Timeout #3 by Oakland Raiders,0.000,0.010
4,1:44,2,7,DAL 21,7,24,Marion Barber middle for 5 yards (tackle by Matt Shaughnessy),0.010,-0.140
4,0:59,3,2,DAL 26,7,24,Marion Barber middle for 6 yards (tackle by Michael Huff),-0.140,1.070
4,0:59,1,10,DAL 32,7,24,Tony Romo kneels for -1 yards,1.070,0.390
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
