Quarter,Time,Down,ToGo,Location,LVR,LAC,Detail,EPB,EPA
3,8:58,2,10,LAC 40,7,24,Josh Jacobs up the middle for 9 yards (tackle by Khalil Mack and Raheem Layne),2.370,2.870
3,8:26,3,1,LAC 31,7,24,Josh Jacobs right end for -1 yards (tackle by Tuli Tuipulotu),2.870,1.300
3,7:47,4,2,LAC 32,7,24,Aidan O'Connell pass complete short left to Davante Adams for 12 yards (tackle by Asante Samuel and Khalil Mack),1.300,4.240
3,7:12,1,10,LAC 20,7,24,Zamir White up the middle for no gain (tackle by Sebastian Joseph-Day and Chris Rumph),4.240,3.690
3,6:35,2,10,LAC 20,7,24,"Aidan O'Connell pass complete short right to Hunter Renfrow for no gain (tackle by Asante Samuel). Penalty on Asante Samuel: Personal Foul / Defense, 10 yards (accepted)",3.690,4.910
3,6:15,1,10,LAC 10,7,24,Josh Jacobs up the middle for 2 yards (tackle by Sebastian Joseph-Day),4.910,4.570
3,5:40,2,8,LAC 8,7,24,Aidan O'Connell pass complete short left to Davante Adams for 4 yards (tackle by Asante Samuel),4.570,4.490
3,5:04,3,4,LAC 4,7,24,Aidan O'Connell pass incomplete short left intended for Josh Jacobs (defended by Kenneth Murray),4.490,3.030
3,4:54,4,4,LAC 4,10,24,Daniel Carlson 22 yard field goal good,3.030,3.000
3,4:51,,,LVR 35,10,24,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,4:51,1,10,LAC 25,10,24,"Derius Davis left end for 1 yard (tackle by Robert Spillane). Penalty on Stone Smartt: Offensive Holding, 10 yards (accepted)",0.610,-0.280
3,4:34,1,19,LAC 16,10,24,Justin Herbert pass complete short right to Derius Davis for 11 yards (tackle by Marcus Epps),-0.280,0.330
3,3:55,2,8,LAC 27,10,24,Joshua Kelley right end for 8 yards (tackle by Marcus Epps and Maxx Crosby),0.330,1.270
3,3:31,1,10,LAC 35,10,24,Justin Herbert scrambles right end for 15 yards (tackle by Divine Deablo),1.270,2.260
3,2:55,1,10,LVR 50,10,24,Joshua Kelley left end for no gain (tackle by John Jenkins),2.260,1.710
3,2:17,2,10,LVR 50,10,24,Justin Herbert pass incomplete deep left intended for Josh Palmer (defended by Jakorian Bennett),1.710,1.030
3,2:11,3,10,LVR 50,10,24,"Justin Herbert pass deep right intended for Josh Palmer is intercepted by Tre'von Moehrig at LV-23 and returned for 16 yards (tackle by Trey Pipkins). Penalty on Robert Spillane: Defensive Illegal Blindside Block, 15 yards (accepted)",1.030,-0.540
3,1:59,1,10,LVR 24,10,24,Josh Jacobs right end for 2 yards (tackle by Tuli Tuipulotu),0.540,0.270
3,1:23,2,8,LVR 26,10,24,Aidan O'Connell pass complete short right to Josh Jacobs for 9 yards (tackle by Tuli Tuipulotu),0.270,1.270
3,0:49,1,10,LVR 35,10,24,Zamir White right tackle for 11 yards (tackle by Dean Marlowe),1.270,1.990
3,0:10,1,10,LVR 46,10,24,Aidan O'Connell pass incomplete deep middle intended for Davante Adams,1.990,1.450
3,0:03,2,10,LVR 46,10,24,Aidan O'Connell pass complete short middle to Josh Jacobs for 14 yards (tackle by Eric Kendricks),1.450,2.920
Quarter,Time,Down,ToGo,Location,LVR,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,LAC 40,10,24,Josh Jacobs up the middle for 9 yards (tackle by Dean Marlowe),2.920,3.590
4,14:30,2,1,LAC 31,10,24,Aidan O'Connell up the middle for 2 yards (tackle by Austin Johnson),3.590,3.640
4,13:56,1,10,LAC 29,10,24,Josh Jacobs right guard for 5 yards (tackle by Sebastian Joseph-Day and Kenneth Murray),3.640,3.780
4,13:18,2,5,LAC 24,10,24,Josh Jacobs left tackle for 6 yards (tackle by Andrew Farmer and Raheem Layne),3.780,4.370
4,12:39,1,10,LAC 18,10,24,Aidan O'Connell pass incomplete deep left intended for Davante Adams,4.370,3.800
4,12:33,2,10,LAC 18,10,24,"Josh Jacobs up the middle for no gain (tackle by Nick Williams and Sebastian Joseph-Day). Penalty on Jakobi Meyers: Illegal Crackback, 15 yards (accepted) (no play)",3.800,1.800
4,12:15,2,25,LAC 33,10,24,Aidan O'Connell sacked by Khalil Mack for -9 yards,1.800,-0.030
4,11:33,3,34,LAC 42,10,24,Aidan O'Connell pass complete short left to Ameer Abdullah for 4 yards (tackle by Kenneth Murray),-0.030,0.720
4,10:43,4,30,LAC 38,10,24,"AJ Cole punts 25 yards, fair catch by Derius Davis at LAC-13",0.720,0.320
4,10:37,1,10,LAC 13,10,24,Joshua Kelley right end for 1 yard (tackle by Adam Butler),-0.320,-0.680
4,10:02,2,9,LAC 14,10,24,Justin Herbert sacked by Maxx Crosby for -9 yards,-0.680,-2.360
4,9:24,3,18,LAC 5,10,24,Joshua Kelley up the middle for 10 yards (tackle by Tre'von Moehrig and Robert Spillane),-2.360,-2.440
4,8:38,4,8,LAC 15,10,24,"JK Scott punts 46 yards, returned by DeAndre Carter for 1 yard (tackle by Simi Fehoko)",-2.440,-1.600
4,8:28,1,10,LVR 40,10,24,"Aidan O'Connell pass incomplete short right intended for Austin Hooper. Penalty on Ja'Sir Taylor: Illegal Contact, 5 yards (accepted) (no play)",1.600,1.930
4,8:23,1,10,LVR 45,10,24,Aidan O'Connell pass complete short left to Josh Jacobs for 4 yards (tackle by Raheem Layne),1.930,1.920
4,7:54,2,6,LVR 49,10,24,Aidan O'Connell pass complete short left to Davante Adams for 10 yards (tackle by Michael Davis),1.920,2.850
4,7:34,1,10,LAC 41,10,24,Aidan O'Connell pass incomplete short right intended for Austin Hooper,2.850,2.310
4,7:26,2,10,LAC 41,10,24,Aidan O'Connell pass complete short middle to Ameer Abdullah for 10 yards (tackle by Ja'Sir Taylor),2.310,3.510
4,6:59,1,10,LAC 31,10,24,Aidan O'Connell pass incomplete short left intended for Davante Adams,3.510,2.970
4,6:57,2,10,LAC 31,10,24,Aidan O'Connell pass complete short left to Davante Adams for 13 yards (tackle by Michael Davis),2.970,4.370
4,6:16,1,10,LAC 18,10,24,Aidan O'Connell pass complete short right to Davante Adams for 7 yards (tackle by Asante Samuel),4.370,5.010
4,5:45,2,3,LAC 11,10,24,Aidan O'Connell pass complete short right to Davante Adams for 8 yards (tackle by Michael Davis),5.010,6.510
4,5:20,1,3,LAC 3,10,24,Aidan O'Connell pass incomplete short right,6.510,5.530
4,5:14,2,3,LAC 3,10,24,Aidan O'Connell pass complete short right to Davante Adams for 2 yards (tackle by Michael Davis),5.530,5.170
4,4:56,3,1,LAC 1,10,24,Aidan O'Connell up the middle for no gain (tackle by Khalil Mack and Nick Williams),5.170,3.550
4,4:04,4,1,LAC 1,16,24,"Josh Jacobs up the middle for 1 yard, touchdown",3.550,7.000
4,3:59,,,LAC 15,17,24,Daniel Carlson kicks extra point good,0.000,0.000
4,3:59,,,LVR 35,17,24,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
4,3:59,1,10,LAC 25,17,24,Justin Herbert pass complete short right to Gerald Everett for 3 yards (tackle by John Jenkins),0.610,0.470
4,3:54,,,,,,Timeout #1 by Las Vegas Raiders,,
4,3:54,2,7,LAC 28,17,24,Justin Herbert pass incomplete deep left intended for Keenan Allen,0.470,-0.230
4,3:45,3,7,LAC 28,17,24,Justin Herbert scrambles up the middle for 6 yards (tackle by Bilal Nichols),-0.230,-1.110
4,3:34,,,,,,Timeout #2 by Las Vegas Raiders,,
4,3:34,4,1,LAC 34,17,24,Justin Herbert up the middle for no gain (tackle by Maxx Crosby),-1.110,-3.310
4,3:30,1,10,LAC 34,17,24,Aidan O'Connell pass complete short middle to Hunter Renfrow for 12 yards (tackle by Ja'Sir Taylor),3.310,4.110
4,2:59,1,10,LAC 22,17,24,Aidan O'Connell pass incomplete short left intended for Davante Adams,4.110,3.560
4,2:56,2,10,LAC 22,17,24,Aidan O'Connell pass incomplete short middle intended for Josh Jacobs (defended by Khalil Mack),3.560,2.870
4,2:52,3,10,LAC 22,17,24,Aidan O'Connell pass incomplete deep right intended for Jakobi Meyers,2.870,1.990
4,2:47,4,10,LAC 22,17,24,Aidan O'Connell pass complete deep left to Davante Adams for 19 yards (tackle by Michael Davis),1.990,6.510
4,2:39,1,3,LAC 3,17,24,Aidan O'Connell pass short right intended for Jakobi Meyers is intercepted by Asante Samuel at LAC-3 and returned for 8 yards,6.510,0.370
4,2:33,1,10,LAC 11,17,24,Joshua Kelley up the middle for 1 yard (tackle by Marcus Peters and Adam Butler),-0.370,-0.710
4,2:27,,,,,,Timeout #3 by Las Vegas Raiders,,
4,2:27,2,9,LAC 12,17,24,Derius Davis right end for -1 yards (tackle by Adam Butler),-0.710,-1.420
4,2:00,3,10,LAC 11,17,24,Justin Herbert pass complete deep left to Josh Palmer for 51 yards (tackle by Tre'von Moehrig),-1.420,3.050
4,1:53,1,10,LVR 38,17,24,Justin Herbert kneels for -4 yards,3.050,1.970
4,1:17,2,14,LVR 42,17,24,"Justin Herbert kneels for no gain. Penalty on Marcus Peters: Defensive Offside, 5 yards (accepted) (no play)",1.970,2.640
4,1:09,2,9,LVR 37,17,24,Justin Herbert kneels for -3 yards,2.640,1.550
4,0:33,3,12,LVR 40,17,24,Justin Herbert kneels for -3 yards,1.550,0.400
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
