Quarter,Time,Down,ToGo,Location,STL,NOR,Detail,EPB,EPA
1,9:32,2,3,STL 45,0,7,Steven Jackson right tackle for 2 yards (tackle by Scott Fujita),1.870,1.420
1,8:54,3,1,STL 47,0,7,Marc Bulger pass complete short right to Brian Leonard for 6 yards (tackle by Mark Simoneau),1.420,2.460
1,8:27,1,10,NOR 47,0,7,Marc Bulger pass complete deep left to Isaac Bruce for 23 yards (tackle by Jason David),2.460,3.970
1,7:44,1,10,NOR 24,0,7,Isaac Bruce left end for -1 yards (tackle by Brian Simmons),3.970,3.300
1,7:01,2,11,NOR 25,0,7,Steven Jackson left guard for 2 yards (tackle by Renaldo Wynn),3.300,2.870
1,6:19,3,9,NOR 23,0,7,Marc Bulger pass complete short left to Drew Bennett for 10 yards (tackle by Jason Craft),2.870,4.710
1,5:46,1,10,NOR 13,0,7,Steven Jackson left guard for 1 yard (tackle by McKinley Boykin),4.710,4.220
1,5:03,2,9,NOR 12,0,7,Marc Bulger pass complete short middle to Drew Bennett for 10 yards (tackle by Roman Harper),4.220,6.740
1,4:23,1,2,NOR 2,0,7,Steven Jackson left guard for 1 yard (tackle by McKinley Boykin and Will Smith),6.740,5.910
1,3:43,2,1,NOR 1,0,7,Marc Bulger pass complete short left to Torry Holt for no gain,5.910,5.170
1,3:02,3,1,NOR 1,6,7,"Steven Jackson left guard for 1 yard, touchdown",5.170,7.000
1,,,,NOR 2,7,7,Jeff Wilkins kicks extra point good,0.000,0.000
1,,,,STL 30,7,7,"Jeff Wilkins kicks off 67 yards, returned by Pierre Thomas for 64 yards (tackle by Brandon Chillar)",0.000,3.380
1,2:46,1,10,STL 33,7,7,Drew Brees pass complete short right to Devery Henderson for 6 yards (tackle by Tye Hill),3.380,3.650
1,2:03,2,4,STL 27,7,7,"Drew Brees pass incomplete. Penalty on Drew Brees: Intentional Grounding, 10 yards",3.650,1.620
1,1:58,3,14,STL 37,7,7,"Drew Brees sacked by Will Witherspoon for -7 yards. Drew Brees fumbles (forced by Will Witherspoon), recovered by Reggie Bush at STL-44",1.620,0.070
1,1:35,4,25,STL 48,7,7,"Steve Weatherford punts 48 yards, touchback",0.070,-0.280
1,1:24,1,10,STL 20,7,7,Marc Bulger pass incomplete short right intended for Antonio Pittman,0.280,-0.270
1,1:19,2,10,STL 20,7,7,Antonio Pittman left guard for 4 yards (tackle by Antwan Lake),-0.270,-0.430
1,0:41,3,6,STL 24,7,7,Marc Bulger pass complete short right to Randy McMichael for 6 yards (tackle by Roman Harper),-0.430,0.940
,,,,,,,"STL challenged the first down ruling, and the original play was overturned.",,
Quarter,Time,Down,ToGo,Location,STL,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,STL 30,7,7,Steven Jackson left guard for no gain (tackle by Kendrick Clancy and Josh Bullocks),0.940,0.390
2,14:22,2,10,STL 30,7,7,Marc Bulger pass complete short right to Torry Holt for 12 yards (tackle by Mike McKenzie),0.390,1.730
2,13:42,1,10,STL 42,7,7,Marc Bulger pass complete short right to Torry Holt for 6 yards (tackle by Mike McKenzie),1.730,2.000
2,13:04,2,4,STL 48,7,7,Steven Jackson right end for 5 yards (tackle by Roman Harper and Mark Simoneau),2.000,2.460
2,12:19,1,10,NOR 47,7,7,Marc Bulger sacked by Brian Simmons for -9 yards,2.460,0.700
2,11:45,,,,7,7,Timeout #1 by New Orleans Saints,0.000,0.700
2,11:45,2,19,STL 44,7,7,Antonio Pittman left end for 2 yards (tackle by Scott Fujita and Brian Simmons),0.700,0.300
2,11:05,3,17,STL 46,7,7,Marc Bulger pass complete deep left to Torry Holt for 21 yards (tackle by Jason David),0.300,0.000
2,,,,,7,7,--,0.000,3.380
2,10:18,1,10,NOR 33,7,7,"Marc Bulger pass incomplete short right intended for Torry Holt. Penalty on Mike McKenzie: Defensive Pass Interference, 18 yards (no play)",3.380,4.580
2,10:12,1,10,NOR 15,7,7,"Marc Bulger for no gain. Marc Bulger fumbles, recovered by Steven Jackson at NOR-18",4.580,3.560
2,9:31,2,13,NOR 18,7,7,Marc Bulger pass complete short right to Randy McMichael for 16 yards (tackle by Josh Bullocks),3.560,6.740
2,8:47,1,2,NOR 2,7,7,Marc Bulger pass incomplete short left intended for Torry Holt,6.740,5.720
2,8:43,2,2,NOR 2,13,7,"Steven Jackson pass complete short right to Randy McMichael for 2 yards, touchdown",5.720,7.000
2,,,,NOR 2,14,7,Jeff Wilkins kicks extra point good,0.000,0.000
2,,,,STL 30,14,7,"Jeff Wilkins kicks off 66 yards, returned by Pierre Thomas for 24 yards (tackle by Travis Minor)",0.000,0.810
2,8:32,1,10,NOR 28,14,7,Drew Brees pass complete short left to Lance Moore for 12 yards (tackle by O.J. Atogwe),0.810,1.600
2,7:56,1,10,NOR 40,14,7,Drew Brees pass incomplete is intercepted by Pisa Tinoisamoa at STL-46 and returned for 15 yards (tackle by Devery Henderson),1.600,-2.980
2,7:45,1,10,NOR 39,14,7,Antonio Pittman right tackle for 6 yards (tackle by Will Smith),2.980,3.250
2,7:05,2,4,NOR 33,14,7,Marc Bulger pass complete short right to Antonio Pittman for no gain,3.250,2.540
2,6:19,,,,14,7,Timeout #2 by St. Louis Rams,0.000,2.540
2,6:19,3,4,NOR 33,14,7,Marc Bulger pass complete short right to Steven Jackson for 2 yards (tackle by Josh Bullocks),2.540,1.400
2,5:43,4,2,NOR 31,17,7,Jeff Wilkins 49 yard field goal good,1.400,3.000
2,,,,STL 30,17,7,"Jeff Wilkins kicks off 69 yards, returned by Pierre Thomas for 23 yards (tackle by Eric Bassey)",0.000,0.540
2,5:31,1,10,NOR 24,17,7,Drew Brees pass complete short left to Eric Johnson for 13 yards (tackle by Tye Hill),0.540,1.400
2,4:51,1,10,NOR 37,17,7,Aaron Stecker right tackle for 11 yards (tackle by Todd Johnson),1.400,2.130
2,4:14,1,10,NOR 48,17,7,Drew Brees pass complete short right to Devery Henderson for 10 yards (tackle by Ronald Bartell),2.130,2.790
2,3:39,1,10,STL 42,17,7,Reggie Bush left tackle for 7 yards (tackle by O.J. Atogwe),2.790,3.190
2,3:01,2,3,STL 35,17,7,Reggie Bush up the middle for -6 yards (tackle by Brandon Chillar and James Hall),3.190,1.680
2,2:20,3,9,STL 41,17,7,"Drew Brees for no gain. Drew Brees fumbles, recovered by Drew Brees at tm_-50",1.680,-0.060
2,2:00,4,18,,17,7,"Steve Weatherford punts 34 yards, fair catch by Brandon Williams",-0.060,0.140
2,1:52,1,10,STL 16,17,7,Brian Leonard right tackle for 2 yards (tackle by Hollis Thomas and McKinley Boykin),-0.140,-0.350
2,1:41,,,,17,7,Timeout #2 by New Orleans Saints,0.000,-0.350
2,1:41,2,8,STL 18,17,7,Marc Bulger pass complete short middle to Brian Leonard for 10 yards (tackle by Kevin Kaesviharn),-0.350,0.810
2,1:14,1,10,STL 28,17,7,Marc Bulger sacked by Hollis Thomas for -3 yards,0.810,-0.140
2,0:34,2,13,STL 25,17,7,Brian Leonard right guard for 4 yards (tackle by Renaldo Wynn),-0.140,-0.300
Quarter,Time,Down,ToGo,Location,STL,NOR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NOR 30,17,7,"Olindo Mare kicks off 70 yards, returned by Brandon Williams for 24 yards (tackle by Marvin Mitchell)",0.000,0.540
3,14:54,1,10,STL 24,17,7,Marc Bulger pass complete short right to Steven Jackson for 11 yards (tackle by Mike McKenzie),0.540,1.270
3,14:24,1,10,STL 35,17,7,Steven Jackson left guard for 3 yards (tackle by Will Smith and Brian Simmons),1.270,1.130
3,13:47,2,7,STL 38,17,7,Marc Bulger pass complete short left to Torry Holt for 5 yards (tackle by Jason David),1.130,1.090
3,13:07,3,2,STL 43,17,7,Steven Jackson left guard for 4 yards (tackle by Antwan Lake),1.090,2.060
3,12:27,1,10,STL 47,17,7,Marc Bulger pass complete short right to Isaac Bruce for 12 yards (tackle by Mike McKenzie),2.060,2.850
3,11:47,1,10,NOR 41,17,7,Marc Bulger pass complete short left to Steven Jackson for 2 yards (tackle by Mark Simoneau),2.850,2.580
3,11:05,2,8,NOR 39,17,7,Marc Bulger sacked by Josh Bullocks for -7 yards,2.580,0.960
3,10:35,3,15,NOR 46,17,7,Marc Bulger pass complete deep left to Torry Holt for 40 yards (tackle by Jason David),0.960,5.830
3,9:50,,,,17,7,Timeout #1 by New Orleans Saints,0.000,5.830
3,9:50,1,6,NOR 6,17,7,Marc Bulger pass incomplete short left intended for Torry Holt,5.830,4.950
3,9:44,2,6,NOR 6,17,7,Marc Bulger pass complete short middle to Steven Jackson for 3 yards (tackle by Josh Cooper),4.950,4.720
3,9:04,3,3,NOR 3,17,7,Marc Bulger pass incomplete short middle intended for Isaac Bruce,4.720,3.040
3,8:59,4,3,NOR 3,20,7,Jeff Wilkins 21 yard field goal good,3.040,3.000
3,,,,STL 30,20,7,"Jeff Wilkins kicks off 66 yards, returned by Pierre Thomas for 35 yards (tackle by Jonathan Wade)",0.000,1.530
3,8:47,1,10,NOR 39,20,7,Drew Brees pass incomplete deep right intended for Marques Colston,1.530,0.990
3,8:42,2,10,NOR 39,20,7,Drew Brees pass complete short right to Reggie Bush for 7 yards (tackle by O.J. Atogwe),0.990,1.220
3,8:14,3,3,NOR 46,20,7,Reggie Bush left end for 2 yards (tackle by La'Roi Glover),1.220,-0.190
3,7:34,,,,20,7,Timeout #2 by New Orleans Saints,0.000,-0.190
3,7:34,4,1,NOR 48,20,7,Reggie Bush right tackle for -1 yards (tackle by Pisa Tinoisamoa),-0.190,-2.460
3,7:27,1,10,NOR 47,20,7,Marc Bulger pass complete short right to Isaac Bruce for 18 yards (tackle by Roman Harper),2.460,3.640
3,6:51,1,10,NOR 29,20,7,Steven Jackson left guard for 3 yards (tackle by Scott Fujita and McKinley Boykin),3.640,3.510
3,6:12,2,7,NOR 26,20,7,Marc Bulger pass complete short middle to Randy McMichael for 17 yards (tackle by Brian Simmons),3.510,5.140
3,5:30,1,9,NOR 9,20,7,Steven Jackson left end for no gain (tackle by Mark Simoneau and Scott Fujita),5.140,4.380
3,4:48,2,9,NOR 9,26,7,"Marc Bulger pass complete short left to Isaac Bruce for 9 yards, touchdown",4.380,7.000
3,,,,NOR 2,27,7,Jeff Wilkins kicks extra point good,0.000,0.000
3,,,,STL 30,27,7,"Jeff Wilkins kicks off 70 yards, returned by Pierre Thomas for 22 yards",0.000,0.410
3,4:38,1,10,NOR 22,27,7,Drew Brees pass complete short left to Marques Colston for 5 yards (tackle by Ronald Bartell),0.410,0.540
3,4:09,2,5,NOR 27,27,7,Drew Brees pass incomplete short right intended for Reggie Bush,0.540,-0.160
3,4:04,3,5,NOR 27,27,7,Drew Brees pass complete short left to David Patten for -1 yards (tackle by Fakhir Brown),-0.160,-1.630
3,3:35,4,6,NOR 26,27,7,"Steve Weatherford punts 47 yards, fair catch by Brandon Williams",-1.630,-0.740
3,3:27,1,10,STL 27,27,7,Marc Bulger pass incomplete short right intended for Isaac Bruce (defended by Mike McKenzie),0.740,0.200
3,3:22,2,10,STL 27,27,7,Steven Jackson right tackle for 3 yards (tackle by Scott Fujita and Roman Harper),0.200,-0.100
3,2:45,3,7,STL 30,27,7,Marc Bulger pass complete short left to Torry Holt for 9 yards (tackle by Jason David),-0.100,1.530
3,2:21,1,10,STL 39,27,7,Steven Jackson left guard for 3 yards (tackle by Scott Fujita),1.530,1.390
3,1:44,2,7,STL 42,27,7,Marc Bulger pass complete short right to Drew Bennett for 14 yards (tackle by Jason Craft),1.390,2.650
3,1:02,1,10,NOR 44,27,7,Antonio Pittman left tackle for no gain (tackle by Brian Simmons and Mark Simoneau),2.650,2.110
3,0:24,2,10,NOR 44,27,7,Antonio Pittman left guard for 43 yards (tackle by Josh Bullocks),2.110,6.970
Quarter,Time,Down,ToGo,Location,STL,NOR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,1,NOR 1,27,7,Antonio Pittman left guard for -2 yards (tackle by McKinley Boykin),6.970,5.530
4,14:24,2,3,NOR 3,33,7,"Marc Bulger pass complete short left to Drew Bennett for 3 yards, touchdown",5.530,7.000
4,,,,NOR 2,34,7,Jeff Wilkins kicks extra point good,0.000,0.000
4,,,,STL 30,34,7,"Jeff Wilkins kicks off 67 yards, returned by Pierre Thomas for 23 yards (tackle by Quinton Culberson)",0.000,0.670
4,14:12,1,10,NOR 26,34,7,Drew Brees pass complete deep middle to Marques Colston for 36 yards (tackle by Pisa Tinoisamoa),0.670,3.050
4,13:31,1,10,STL 38,34,7,Drew Brees pass complete short middle to David Patten for 14 yards (tackle by Tye Hill),3.050,3.970
4,12:49,1,10,STL 24,34,7,Drew Brees pass complete short right to Marques Colston for 16 yards (tackle by Pisa Tinoisamoa),3.970,5.370
4,12:11,1,8,STL 8,34,7,Drew Brees pass incomplete short right intended for Marques Colston (defended by Tye Hill),5.370,4.570
4,12:05,2,8,STL 8,34,7,Reggie Bush for 7 yards (tackle by Tye Hill),4.570,5.170
4,11:41,3,1,STL 1,34,13,"Drew Brees pass complete short right to Billy Miller for 1 yard, touchdown",5.170,7.000
4,,,,,34,15,"Two Point Attempt: Reggie Bush left guard, conversion succeeds",1.000,1.000
4,,,,NOR 30,34,15,"Olindo Mare kicks off 70 yards, touchback",0.000,0.280
4,11:36,1,10,STL 20,34,15,Marc Bulger pass complete deep left to Torry Holt for 31 yards,0.280,2.320
4,11:03,1,10,NOR 49,34,15,"Steven Jackson left tackle for 9 yards (tackle by Josh Bullocks and Roman Harper). Penalty on Andy McCollum: Offensive Holding, 10 yards (no play)",2.320,1.660
4,10:34,1,20,STL 41,34,15,Steven Jackson left tackle for 12 yards (tackle by Josh Bullocks),1.660,2.050
4,9:51,2,8,NOR 47,34,15,Steven Jackson right guard for 2 yards (tackle by Mark Simoneau and Roman Harper),2.050,1.620
4,9:06,3,6,NOR 45,34,15,Marc Bulger pass incomplete short right intended for Drew Bennett,1.620,0.270
4,9:02,4,6,NOR 45,34,15,Donnie Jones punts 41 yards,0.270,0.380
4,8:52,1,10,NOR 4,34,15,Drew Brees pass incomplete short left intended for David Patten,-0.380,-0.780
4,8:46,2,10,NOR 4,34,15,Drew Brees pass incomplete deep left intended for David Patten (defended by Fakhir Brown),-0.780,-1.420
4,8:39,3,10,NOR 4,34,15,Drew Brees pass complete short right to Reggie Bush for 13 yards (tackle by Tye Hill),-1.420,-0.060
4,8:12,1,10,NOR 17,34,15,"Drew Brees pass incomplete deep right intended for Marques Colston (defended by O.J. Atogwe). Penalty on O.J. Atogwe: Personal Foul, 15 yards (no play)",-0.060,1.070
,,,,,,,"NOR challenged the touchback ruling, and the play was upheld.",,
4,8:02,1,10,NOR 32,34,15,Drew Brees pass complete short middle to Marques Colston for 9 yards (tackle by Fakhir Brown),1.070,1.740
4,7:34,2,1,NOR 41,34,15,Drew Brees pass complete short left to Reggie Bush for 4 yards (tackle by Fakhir Brown),1.740,1.930
,,,,,,,"STL challenged the ruling, and the play was upheld.",,
4,7:34,1,10,NOR 45,34,15,"Penalty on Claude Wroten: Encroachment, 5 yards (no play)",1.930,2.660
4,6:41,1,5,,34,15,Drew Brees pass complete deep left to David Patten for 24 yards,2.660,3.840
4,6:08,1,10,STL 26,34,15,Drew Brees pass incomplete deep right intended for Devery Henderson,3.840,3.300
4,6:01,2,10,STL 26,34,15,Drew Brees pass complete short left to Aaron Stecker for 8 yards (tackle by Claude Wroten),3.300,3.750
4,5:27,3,2,STL 18,34,15,Drew Brees pass complete short left to Marques Colston for 16 yards (tackle by Corey Chavous),3.750,6.740
4,4:50,1,2,STL 2,34,15,Drew Brees pass incomplete short left intended for Marques Colston (defended by Fakhir Brown),6.740,5.720
4,4:45,2,2,STL 2,34,21,"Aaron Stecker left guard for 2 yards, touchdown",5.720,7.000
4,,,,,34,21,"Two Point Attempt: Drew Brees pass incomplete intended for Marques Colston, conversion fails",1.000,-1.000
4,,,,NOR 30,34,21,Olindo Mare kicks onside 12 yards,0.000,2.790
4,4:41,1,10,NOR 42,34,21,"Steven Jackson for 12 yards (tackle by Roman Harper). Penalty on Torry Holt: Offensive Holding, 10 yards",2.790,3.080
4,4:32,1,8,NOR 40,34,21,Steven Jackson left tackle for 3 yards (tackle by Scott Fujita),3.080,2.920
4,3:47,2,5,NOR 37,34,21,Steven Jackson for 9 yards (tackle by Jason David),2.920,3.710
4,3:41,1,10,NOR 28,34,21,Antonio Pittman left guard for no gain (tackle by Will Smith and Kevin Kaesviharn),3.710,3.170
4,2:59,2,10,NOR 28,34,21,Steven Jackson left tackle for no gain (tackle by Kevin Kaesviharn and Will Smith),3.170,2.480
4,2:14,3,10,NOR 28,34,21,Steven Jackson left tackle for 2 yards (tackle by Mark Simoneau),2.480,1.740
4,2:00,4,8,NOR 26,37,21,Jeff Wilkins 44 yard field goal good,1.740,3.000
4,,,,STL 30,37,21,"Jeff Wilkins kicks off 53 yards, returned by Pierre Thomas for 20 yards",0.000,1.400
4,1:47,1,10,NOR 37,37,21,Drew Brees pass complete short left to Marques Colston for 16 yards (tackle by Corey Chavous),1.400,2.460
4,1:41,1,10,STL 47,37,21,Drew Brees pass incomplete short middle intended for Marques Colston,2.460,1.910
4,1:37,2,10,STL 47,37,21,Drew Brees pass complete short right to Marques Colston for 20 yards (tackle by Will Witherspoon). Penalty on Claude Wroten: Defensive Offside (Declined),1.910,3.780
4,1:32,1,10,STL 27,37,21,Drew Brees pass complete deep middle to Eric Johnson for 18 yards (tackle by Will Witherspoon),3.780,5.140
4,1:06,1,9,STL 9,37,21,Drew Brees pass complete short right to Devery Henderson for 4 yards (tackle by Fakhir Brown),5.140,5.150
4,1:01,2,5,STL 5,37,21,Drew Brees pass complete short middle to Reggie Bush for -2 yards (tackle by Will Witherspoon),5.150,3.810
4,0:36,3,7,STL 7,37,27,"Drew Brees pass complete short right to Eric Johnson for 7 yards, touchdown",3.810,7.000
4,,,,,37,29,"Two Point Attempt: Reggie Bush right guard, conversion succeeds",1.000,1.000
4,,,,NOR 30,37,29,"Olindo Mare kicks onside 13 yards, recovered by Dane Looker",0.000,2.720
4,0:29,1,10,NOR 43,37,29,Marc Bulger kneels for -1 yards,2.720,2.040
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
