Quarter,Time,Down,ToGo,Location,SEA,JAX,Detail,EPB,EPA
2,10:13,2,10,SEA 37,7,6,Shaun Alexander up the middle for 2 yards (tackle by Marcus Stroud),0.860,0.430
2,9:34,3,8,SEA 39,7,6,Matt Hasselbeck pass incomplete is intercepted by Deon Grant at JAX-38 and returned for 29 yards,0.430,-3.380
2,9:23,1,10,SEA 33,7,6,Byron Leftwich pass complete to Fred Taylor for 9 yards (tackle by Lofa Tatupu),3.380,4.050
2,8:43,2,1,SEA 24,7,6,Fred Taylor right end for no gain (tackle by Michael Boulware),4.050,3.340
2,7:57,3,1,SEA 24,7,6,LaBrandon Toefield right end for -1 yards (tackle by Bryce Fisher and Jamie Sharper),3.340,1.930
2,7:17,4,2,SEA 25,7,6,Josh Scobee 43 yard field goal no good,1.930,-1.200
2,7:13,1,10,SEA 34,7,6,Shaun Alexander up the middle for 1 yard (tackle by Mike Peterson),1.200,0.790
2,6:39,2,9,SEA 35,7,6,Matt Hasselbeck pass incomplete intended for Mack Strong (defended by Rashean Mathis),0.790,0.100
2,6:36,3,9,SEA 35,7,6,Matt Hasselbeck pass incomplete intended for Alex Bannister,0.100,-1.040
2,6:30,4,9,SEA 35,7,6,"Leo Araguz punts 53 yards, returned by Alvin Pearman for 14 yards (tackle by Kevin Bentley)",-1.040,-0.670
2,6:19,1,10,JAX 26,7,6,Fred Taylor up the middle for 6 yards (tackle by Kelly Herndon),0.670,0.940
2,5:45,2,4,JAX 32,7,6,Byron Leftwich pass incomplete intended for Jimmy Smith (defended by Grant Wistrom),0.940,0.230
2,5:40,3,4,JAX 32,7,6,Byron Leftwich pass complete to Jimmy Smith for 45 yards (tackle by Kelly Herndon),0.230,4.040
2,4:53,1,10,SEA 23,7,6,Byron Leftwich sacked by Rocky Bernard for -7 yards,4.040,2.550
2,4:23,,,,7,6,Timeout #3 by Jacksonville Jaguars,0.000,2.550
2,4:23,2,17,SEA 30,7,12,"Byron Leftwich pass complete to Jimmy Smith for 30 yards, touchdown",2.550,7.000
2,,,,SEA 2,7,13,Josh Scobee kicks extra point good,0.000,0.000
2,,,,JAX 30,7,13,"Josh Scobee kicks off 70 yards, touchback",0.000,0.280
2,4:17,1,10,SEA 20,7,13,Matt Hasselbeck pass complete to Bobby Engram for 5 yards (tackle by Rashean Mathis),0.280,0.410
2,3:46,2,5,SEA 25,7,13,Shaun Alexander right tackle for 36 yards (tackle by Deon Grant),0.410,2.980
2,3:08,1,10,JAX 39,7,13,Shaun Alexander up the middle for 6 yards (tackle by Daryl Smith),2.980,3.250
2,2:33,2,4,JAX 33,7,13,Maurice Morris left end for 8 yards (tackle by Akin Ayodele),3.250,3.910
2,2:00,1,10,JAX 25,7,13,Matt Hasselbeck pass complete to Bobby Engram for 9 yards (tackle by Rashean Mathis and Donovin Darius),3.910,4.750
2,1:28,2,1,JAX 16,7,13,Shaun Alexander up the middle for 7 yards (tackle by John Henderson),4.750,5.140
2,0:52,1,9,JAX 9,13,13,"Matt Hasselbeck pass complete to Darrell Jackson for 9 yards, touchdown",5.140,7.000
2,,,,JAX 2,14,13,Josh Brown kicks extra point good,0.000,0.000
2,,,,SEA 30,14,13,"Josh Brown kicks off 62 yards, returned by Derrick Wimbush for 20 yards (tackle by Isaiah Kacyvenski)",0.000,0.810
2,0:42,1,10,JAX 28,14,13,Byron Leftwich pass incomplete intended for Jimmy Smith,0.810,0.260
2,0:35,2,10,JAX 28,14,13,Byron Leftwich pass complete to Matt Jones for 12 yards (tackle by Marcus Trufant),0.260,1.600
2,0:30,1,10,JAX 40,14,13,Byron Leftwich pass incomplete intended for LaBrandon Toefield,1.600,1.050
2,0:24,2,10,JAX 40,14,13,LaBrandon Toefield up the middle for 2 yards (tackle by Kelly Herndon),1.050,0.630
Quarter,Time,Down,ToGo,Location,SEA,JAX,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 30,14,13,"Josh Brown kicks off 65 yards, returned by Alvin Pearman for 17 yards (tackle by Jordan Babineaux)",0.000,0.410
3,14:54,1,10,JAX 22,14,13,Fred Taylor up the middle for 6 yards (tackle by D.D. Lewis),0.410,0.680
3,14:19,2,4,JAX 28,14,13,"Penalty on Reggie Williams: False Start, 5 yards (no play)",0.680,0.000
3,14:03,2,9,JAX 23,14,13,Matt Jones pass complete to Reggie Williams for 6 yards (tackle by Marcus Trufant),0.000,0.100
3,13:52,3,3,JAX 29,14,13,"Byron Leftwich pass complete to Byron Leftwich for 2 yards (tackle by D.D. Lewis). Penalty on Chartric Darby: Defensive Offside, 5 yards (no play)",0.100,1.200
3,13:25,1,10,JAX 34,14,13,Fred Taylor left end for 7 yards (tackle by Ken Hamlin),1.200,1.600
3,12:44,2,3,JAX 41,14,13,Fred Taylor left tackle for 3 yards (tackle by Michael Boulware and Lofa Tatupu),1.600,1.860
3,12:10,1,10,JAX 44,14,13,Byron Leftwich pass incomplete intended for Jimmy Smith (defended by Joe Tafoya),1.860,1.320
3,12:06,2,10,JAX 44,14,13,Byron Leftwich pass complete to Greg Jones for 10 yards (tackle by Michael Boulware),1.320,2.520
3,11:38,1,10,SEA 46,14,13,Byron Leftwich pass complete to George Wrighster for 27 yards (tackle by Jamie Sharper),2.520,4.310
3,11:03,1,10,SEA 19,14,13,Fred Taylor left tackle for no gain (tackle by Grant Wistrom),4.310,3.750
3,10:19,2,10,SEA 19,14,13,Byron Leftwich up the middle for 4 yards (tackle by Jamie Sharper),3.750,3.580
3,9:34,3,6,SEA 15,14,13,Fred Taylor up the middle for 8 yards (tackle by Jordan Babineaux),3.580,5.600
3,8:50,1,7,SEA 7,14,13,Byron Leftwich pass incomplete intended for Matt Jones,5.600,4.760
3,8:45,2,7,SEA 7,14,19,"Byron Leftwich pass complete to Jimmy Smith for 7 yards, touchdown",4.760,7.000
3,,,,SEA 2,14,20,Josh Scobee kicks extra point good,0.000,0.000
3,,,,JAX 30,14,20,"Josh Scobee kicks off 66 yards, returned by Josh Scobey for 26 yards (tackle by Greg Jones)",0.000,0.940
3,8:34,1,10,SEA 30,14,20,Matt Hasselbeck pass incomplete intended for Jerramy Stevens,0.940,0.390
3,8:26,2,10,SEA 30,14,20,Matt Hasselbeck pass complete to Darrell Jackson for 11 yards (tackle by Mike Peterson),0.390,1.660
3,7:57,1,10,SEA 41,14,20,Shaun Alexander up the middle for 1 yard (tackle by Kenny Wright),1.660,1.260
3,7:18,2,9,SEA 42,14,20,Matt Hasselbeck pass incomplete intended for Bobby Engram,1.260,0.560
3,7:14,3,9,SEA 42,14,20,Maurice Morris up the middle for -2 yards (tackle by John Henderson),0.560,-0.720
3,6:43,4,11,SEA 40,14,20,"Leo Araguz punts 40 yards, returned by Alvin Pearman for 1 yard (tackle by Jordan Babineaux)",-0.720,-0.340
3,6:34,1,10,JAX 21,14,20,Fred Taylor up the middle for 3 yards (tackle by Lofa Tatupu),0.340,0.210
3,5:54,2,7,JAX 24,14,20,Byron Leftwich pass complete to Jimmy Smith for 24 yards (tackle by Marcus Trufant),0.210,2.130
3,5:14,1,10,JAX 48,14,20,Fred Taylor up the middle for 9 yards (tackle by Kelly Herndon),2.130,2.800
3,4:36,2,1,SEA 43,14,20,Fred Taylor up the middle for 4 yards (tackle by Marcus Trufant),2.800,2.980
3,3:57,1,10,SEA 39,14,20,Alvin Pearman up the middle for 2 yards (tackle by Marcus Tubbs),2.980,2.710
3,3:16,2,8,SEA 37,14,20,"Byron Leftwich sacked by Marcus Trufant for -11 yards. Byron Leftwich fumbles (forced by Marcus Trufant), recovered by Kyle Brady at SEA-42",2.710,1.360
3,2:30,3,13,SEA 42,14,20,Byron Leftwich for 3 yards (tackle by Grant Wistrom),1.360,0.660
3,1:56,4,10,SEA 39,14,20,Chris Hanson punts 31 yards,0.660,0.380
3,1:46,1,10,SEA 8,14,20,Shaun Alexander up the middle for 2 yards (tackle by Rob Meier and Reggie Hayward),-0.380,-0.630
3,1:05,2,8,SEA 10,14,20,Matt Hasselbeck pass incomplete intended for Ryan Hannam,-0.630,-1.190
3,1:00,3,8,SEA 10,14,20,Matt Hasselbeck pass incomplete intended for Jerramy Stevens,-1.190,-2.490
3,0:53,4,8,SEA 10,14,20,"Leo Araguz punts 47 yards, fair catch by Alvin Pearman",-2.490,-1.800
3,0:46,1,10,JAX 43,14,20,Byron Leftwich pass incomplete intended for Jimmy Smith,1.800,1.250
3,0:39,2,10,JAX 43,14,20,Fred Taylor right tackle for -2 yards (tackle by Rocky Bernard),1.250,0.300
Quarter,Time,Down,ToGo,Location,SEA,JAX,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,12,JAX 41,14,20,Byron Leftwich pass incomplete intended for Ernest Wilford,0.300,-0.650
4,14:52,4,12,JAX 41,14,20,"Chris Hanson punts 58 yards, returned by Peter Warrick for 9 yards (tackle by Gerald Sensabaugh). Penalty on Joe Tafoya: Illegal Block Above the , 3 yards",-0.650,0.380
4,14:39,1,10,SEA 3,14,20,Matt Hasselbeck pass complete to Jerramy Stevens for 17 yards (tackle by Deon Grant),-0.380,0.280
4,14:03,1,10,SEA 20,14,20,Matt Hasselbeck pass complete to Darrell Jackson for 8 yards (tackle by Kenny Wright),0.280,0.810
4,13:32,2,2,SEA 28,14,20,Shaun Alexander up the middle for 5 yards (tackle by John Henderson and Daryl Smith),0.810,1.140
4,12:55,1,10,SEA 33,14,20,Matt Hasselbeck pass incomplete intended for Mack Strong,1.140,0.590
4,12:52,2,10,SEA 33,14,20,Matt Hasselbeck up the middle for 8 yards (tackle by Rob Meier),0.590,0.960
4,12:07,3,2,SEA 41,14,20,Matt Hasselbeck pass complete to Darrell Jackson for 7 yards (tackle by Rashean Mathis),0.960,2.130
4,11:26,1,10,SEA 48,14,20,Shaun Alexander left tackle for -2 yards (tackle by Terry Cousin),2.130,1.310
4,10:46,2,12,SEA 46,14,20,"Matt Hasselbeck pass complete to Bobby Engram for 9 yards (tackle by Terry Cousin). Penalty on Bobby McCray: Defensive Offside, 5 yards (no play)",1.310,1.990
4,10:23,2,7,JAX 49,14,20,Matt Hasselbeck sacked by Deon Grant and Bobby McCray for -8 yards,1.990,0.230
4,9:43,3,15,SEA 43,14,20,"Penalty on Matt Hasselbeck: Delay of Game, 5 yards (no play)",0.230,-0.430
4,9:22,3,20,SEA 38,14,20,Matt Hasselbeck pass incomplete intended for Darrell Jackson,-0.430,-0.850
4,9:15,4,20,SEA 38,14,20,"Leo Araguz punts 46 yards, returned by Alvin Pearman for 9 yards (tackle by Marquand Manuel)",-0.850,-0.610
4,9:04,1,10,JAX 25,14,20,Byron Leftwich pass complete to Reggie Williams for 20 yards (tackle by Kelly Herndon),0.610,1.930
4,9:04,1,10,JAX 45,14,20,"Penalty on Jimmy Smith: False Start, 5 yards (no play)",1.930,1.600
4,8:08,1,15,JAX 40,14,20,Byron Leftwich for 3 yards (tackle by Bryce Fisher),1.600,1.110
4,7:26,2,12,JAX 43,14,20,Fred Taylor up the middle for 4 yards (tackle by Chartric Darby),1.110,0.960
4,6:47,3,8,JAX 47,14,20,Byron Leftwich pass incomplete intended for Matt Jones,0.960,-0.260
4,6:41,4,8,JAX 47,14,20,Chris Hanson punts 38 yards,-0.260,0.220
4,6:29,1,10,SEA 15,14,20,Matt Hasselbeck pass incomplete intended for Jerramy Stevens is intercepted by Daryl Smith at SEA-15. Penalty on Sean Locklear: Offensive Holding (Declined),-0.220,-4.580
4,6:20,1,10,SEA 15,14,20,Fred Taylor up the middle for 7 yards (tackle by Michael Boulware),4.580,5.220
4,5:44,2,3,SEA 8,14,20,Fred Taylor left tackle for no gain (tackle by Lofa Tatupu),5.220,4.450
4,5:02,3,3,SEA 8,14,20,Byron Leftwich sacked by Bryce Fisher for -3 yards,4.450,2.720
4,4:35,4,6,SEA 11,14,23,Josh Scobee 29 yard field goal good,2.720,3.000
4,,,,JAX 30,14,23,"Josh Scobee kicks off 77 yards, touchback",0.000,0.280
4,4:21,1,10,SEA 20,14,23,Matt Hasselbeck pass complete to Bobby Engram for 9 yards (tackle by Rashean Mathis),0.280,0.950
4,4:05,2,1,SEA 29,14,23,Matt Hasselbeck pass complete to Bobby Engram for 12 yards (tackle by Deon Grant),0.950,1.660
4,3:44,1,10,SEA 41,14,23,"Matt Hasselbeck sacked by Akin Ayodele for -8 yards. Matt Hasselbeck fumbles (forced by Akin Ayodele), recovered by Mike Peterson at SEA-31 (tackle by Sean Locklear)",1.660,-3.510
4,3:38,1,10,SEA 31,14,23,Fred Taylor up the middle for 1 yard (tackle by D.D. Lewis),3.510,3.100
4,2:54,2,9,SEA 30,14,23,Fred Taylor up the middle for 4 yards (tackle by Jamie Sharper),3.100,2.940
4,2:08,3,5,SEA 26,14,23,LaBrandon Toefield up the middle for 3 yards (tackle by Grant Wistrom),2.940,2.050
4,2:00,,,,14,23,Timeout #1 by Jacksonville Jaguars,0.000,2.050
4,2:00,4,2,SEA 23,14,26,Josh Scobee 41 yard field goal good,2.050,3.000
4,,,,JAX 30,14,26,"Josh Scobee kicks off 70 yards, touchback",0.000,0.280
4,1:55,1,10,SEA 20,14,26,Matt Hasselbeck pass complete to Joe Jurevicius for 24 yards (tackle by Deon Grant),0.280,1.860
4,1:26,1,10,SEA 44,14,26,Matt Hasselbeck pass complete to Bobby Engram for 8 yards (tackle by Terry Cousin),1.860,2.400
4,1:06,2,2,JAX 48,14,26,"Matt Hasselbeck pass incomplete intended for Alex Bannister. Penalty on Rashean Mathis: Defensive Pass Interfere, 6 yards (no play)",2.400,2.790
4,1:03,1,10,JAX 42,14,26,Matt Hasselbeck pass incomplete intended for Darrell Jackson,2.790,2.240
4,0:59,2,10,JAX 42,14,26,Matt Hasselbeck pass complete to Mack Strong for -3 yards (tackle by Mike Peterson),2.240,1.160
4,0:33,3,13,JAX 45,14,26,Matt Hasselbeck pass complete to Jerramy Stevens for 13 yards (tackle by Kenny Wright),1.160,3.450
4,0:20,,,,14,26,Timeout #1 by Seattle Seahawks,0.000,3.450
4,0:20,1,10,JAX 32,14,26,"Matt Hasselbeck pass incomplete intended for Darrell Jackson. Penalty on Robbie Tobeck: Offensive Holding, 11 yards (no play)",3.450,2.720
4,0:12,1,21,JAX 43,14,26,Matt Hasselbeck pass incomplete intended for Ryan Hannam,2.720,1.420
4,0:09,2,21,JAX 43,14,26,"Matt Hasselbeck sacked by Reggie Hayward for -3 yards. Matt Hasselbeck fumbles (forced by Reggie Hayward), recovered by Paul Spicer at JAX-46 (tackle by Sean Locklear)",1.420,-1.990
4,0:02,1,10,JAX 46,14,26,Byron Leftwich kneels for -1 yards,1.990,1.320
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
