Quarter,Time,Down,ToGo,Location,NYG,LAR,Detail,EPB,EPA
3,8:13,3,6,LAR 43,6,10,Daniel Jones pass incomplete deep left intended for Darius Slayton,,
3,8:07,4,6,LAR 43,6,10,"Riley Dixon punts 34 yards, fair catch by Cooper Kupp at LA-9",,
3,8:01,1,10,LAR 9,6,10,Darrell Henderson right tackle for 4 yards (tackle by Dexter Lawrence),,
3,7:40,2,6,LAR 13,6,10,Jared Goff pass complete short middle to Robert Woods for 7 yards (tackle by Blake Martinez),,
3,6:53,1,10,LAR 20,6,10,Darrell Henderson left tackle for no gain (tackle by Dexter Lawrence and Markus Golden),,
3,6:10,2,10,LAR 20,6,10,Jared Goff pass complete short middle to Cooper Kupp for -1 yards (tackle by Dexter Lawrence),,
3,5:39,3,11,LAR 19,6,10,Jared Goff pass incomplete deep left intended for Josh Reynolds,,
3,5:33,4,11,LAR 19,6,10,"Johnny Hekker punts 47 yards, returned by Golden Tate for 9 yards (tackle by Nsimba Webster)",,
3,5:25,1,10,NYG 43,6,10,Devonta Freeman left guard for 3 yards (tackle by Greg Gaines and Samson Ebukam),,
3,4:50,2,7,NYG 46,6,10,Daniel Jones pass incomplete short right intended for Darius Slayton,,
3,4:44,3,7,NYG 46,6,10,Daniel Jones right end for 6 yards (tackle by Micah Kiser),,
3,4:18,4,1,LAR 48,6,10,Daniel Jones pass complete short middle to Kaden Smith for 10 yards (tackle by Jalen Ramsey),,
3,3:35,1,10,LAR 38,6,10,Daniel Jones left tackle for 5 yards (tackle by Morgan Fox),,
3,2:56,2,5,LAR 33,6,10,Daniel Jones pass complete short left to Darius Slayton for 8 yards (tackle by Troy Hill),,
3,2:14,1,10,LAR 25,6,10,Devonta Freeman up the middle for 10 yards (tackle by Troy Hill),,
3,1:33,1,10,LAR 15,6,10,"Devonta Freeman up the middle for 5 yards (tackle by Greg Gaines). Penalty on Andrew Thomas: Illegal Formation, 5 yards (no play)",,
3,1:03,1,15,LAR 20,6,10,Daniel Jones pass complete short left to Devonta Freeman for 9 yards (tackle by Taylor Rapp and Troy Reeder),,
3,0:22,2,6,LAR 11,6,10,"Penalty on Kaden Smith: False Start, 5 yards (no play)",,
Quarter,Time,Down,ToGo,Location,NYG,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,11,LAR 16,6,10,Daniel Jones pass complete short right to Darius Slayton for 7 yards (tackle by Darious Williams and John Johnson),,
4,14:20,3,4,LAR 9,6,10,Daniel Jones pass incomplete short right intended for Darius Slayton,,
4,14:15,4,4,LAR 9,9,10,Graham Gano 27 yard field goal good,,
4,14:11,,,NYG 35,9,10,"Graham Gano kicks off 70 yards, returned by Raymond Calais for 41 yards (tackle by Madre Harper)",,
4,14:05,1,10,LAR 36,9,10,Malcolm Brown left tackle for 3 yards (tackle by Blake Martinez and Leonard Williams),,
4,13:27,2,7,LAR 39,9,10,Jared Goff pass complete short right to Malcolm Brown for 1 yard (tackle by Blake Martinez),,
4,12:45,3,6,LAR 40,9,10,Jared Goff pass incomplete deep left intended for Cooper Kupp,,
4,12:39,4,6,LAR 40,9,10,"Johnny Hekker punts 60 yards, touchback.",,
4,12:32,1,10,NYG 20,9,10,Wayne Gallman up the middle for 26 yards (tackle by Darious Williams and John Johnson),,
4,11:50,1,10,NYG 46,9,10,Wayne Gallman right tackle for 4 yards (tackle by Morgan Fox and Kenny Young),,
4,11:11,2,6,NYG 50,9,10,Wayne Gallman up the middle for 3 yards (tackle by Taylor Rapp),,
4,10:32,3,3,LAR 47,9,10,Daniel Jones pass complete short left to Golden Tate for -1 yards (tackle by Jalen Ramsey),,
4,9:53,4,4,LAR 48,9,10,"Riley Dixon punts 39 yards, fair catch by Cooper Kupp at LA-9",,
4,9:46,1,10,LAR 9,9,10,Jared Goff pass complete short left to Robert Woods for 2 yards (tackle by James Bradberry),,
4,9:06,2,8,LAR 11,9,10,Jared Goff pass complete short left to Cooper Kupp for 7 yards,,
4,8:30,3,1,LAR 18,9,10,Malcolm Brown right tackle for 5 yards (tackle by Lorenzo Carter),,
4,8:09,1,10,LAR 23,9,10,Jared Goff pass complete short middle to Robert Woods for 8 yards (tackle by Blake Martinez),,
4,7:49,2,2,LAR 31,9,10,Jared Goff pass complete short right to Tyler Higbee for 7 yards (tackle by Blake Martinez and Ryan Lewis),,
4,7:29,1,10,LAR 38,9,10,Jared Goff pass incomplete short right intended for Malcolm Brown (defended by Logan Ryan),,
4,7:24,2,10,LAR 38,9,10,Jared Goff pass complete short right to Josh Reynolds for 7 yards (tackle by Logan Ryan),,
4,7:06,3,3,LAR 45,9,16,"Jared Goff pass complete short middle to Cooper Kupp for 55 yards, touchdown",,
4,6:56,,,NYG 15,9,17,Sam Sloman kicks extra point good,,
4,6:56,,,LAR 35,9,17,"Sam Sloman kicks off 65 yards, touchback.",,
4,6:56,1,10,NYG 25,9,17,Daniel Jones pass complete short left to Damion Ratley for 9 yards (tackle by Troy Hill and Taylor Rapp),,
4,6:18,2,1,NYG 34,9,17,Devonta Freeman up the middle for 3 yards (tackle by Sebastian Joseph and Troy Reeder),,
4,5:37,1,10,NYG 37,9,17,Devonta Freeman up the middle for no gain (tackle by Sebastian Joseph and Aaron Donald),,
4,4:57,2,10,NYG 37,9,17,Daniel Jones pass complete short middle to Devonta Freeman for 15 yards (tackle by Troy Reeder),,
4,4:16,1,10,LAR 48,9,17,"Daniel Jones sacked by Leonard Floyd for no gain. Penalty on Troy Hill: Illegal Contact, 5 yards (no play)",,
4,4:09,1,10,LAR 43,9,17,Daniel Jones pass complete short right to Devonta Freeman for 13 yards (tackle by Jalen Ramsey),,
4,4:01,1,10,LAR 30,9,17,Daniel Jones sacked by Justin Hollins for -5 yards,,
4,3:22,2,15,LAR 35,9,17,Daniel Jones pass incomplete short right intended for Evan Engram (defended by Darious Williams),,
4,3:18,3,15,LAR 35,9,17,Daniel Jones pass complete short middle to Dion Lewis for 4 yards (tackle by John Johnson),,
4,2:37,4,11,LAR 31,9,17,Daniel Jones pass incomplete short right intended for Golden Tate,,
4,2:33,1,10,LAR 31,9,17,Darrell Henderson right tackle for 1 yard (tackle by Lorenzo Carter and Blake Martinez),,
4,2:28,,,,,,Timeout #1 by New York Giants,,
4,2:28,2,9,LAR 32,9,17,Cooper Kupp left end for -2 yards (tackle by Kyler Fackrell),,
4,2:22,3,11,LAR 30,9,17,Malcolm Brown up the middle for 2 yards (tackle by Blake Martinez),,
4,2:18,,,,,,Timeout #2 by New York Giants,,
4,2:17,4,9,LAR 32,9,17,"Johnny Hekker punts 54 yards, returned by Golden Tate for 6 yards (tackle by Johnny Mundt)",,
4,2:05,1,10,NYG 20,9,17,Daniel Jones pass complete deep middle to Darius Slayton for 33 yards (tackle by Jalen Ramsey),,
4,1:56,1,10,LAR 47,9,17,Daniel Jones pass incomplete short middle intended for Golden Tate,,
4,1:53,2,10,LAR 47,9,17,Daniel Jones up the middle for 13 yards (tackle by Taylor Rapp),,
4,1:28,1,10,LAR 34,9,17,Daniel Jones pass incomplete short middle intended for Evan Engram (defended by Troy Hill),,
4,1:24,2,10,LAR 34,9,17,Daniel Jones right end for 11 yards (tackle by Taylor Rapp),,
4,1:17,1,10,LAR 23,9,17,Daniel Jones pass complete short right to Evan Engram for 5 yards (tackle by John Johnson),,
4,0:57,2,5,LAR 18,9,17,Daniel Jones pass short right intended for Damion Ratley is intercepted by Darious Williams at LA-5 and returned for 2 yards,,
4,0:52,1,10,LAR 7,9,17,Jared Goff kneels for -1 yards,,
4,0:49,,,,,,Timeout #3 by New York Giants,,
4,0:48,2,11,LAR 6,9,17,Jared Goff kneels for -1 yards,,
4,0:23,3,12,LAR 5,9,17,Jared Goff kneels for -1 yards,,
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
