Quarter,Time,Down,ToGo,Location,NYJ,TAM,Detail,EPB,EPA
1,5:06,2,6,TAM 6,3,0,Kellen Clemens pass incomplete short right intended for Jerricho Cotchery,4.950,4.040
1,4:59,3,6,TAM 6,3,0,Kellen Clemens pass incomplete short left intended for Brad Smith (defended by Sabby Piscitelli),4.040,2.990
1,4:51,4,6,TAM 6,6,0,Jay Feely 24 yard field goal good,2.990,3.000
1,,,,NYJ 30,6,0,"Jay Feely kicks off 59 yards, returned by Earnest Graham for 17 yards (tackle by Drew Coleman)",0.000,0.810
1,4:41,1,10,TAM 28,6,0,Derrick Ward right guard for 5 yards (tackle by Shaun Ellis),0.810,0.940
1,4:02,2,5,TAM 33,6,0,Josh Freeman pass incomplete deep left intended for Antonio Bryant (defended by Darrelle Revis),0.940,0.230
1,3:53,3,5,TAM 33,6,0,"Penalty on Josh Freeman: Delay of Game, 5 yards (no play)",0.230,-0.430
1,3:53,3,10,TAM 28,6,0,Josh Freeman pass complete short left to Kellen Winslow for 5 yards (tackle by Drew Coleman),-0.430,-1.180
1,3:19,4,5,TAM 33,6,0,"Sam Paulescu punts 37 yards, returned by Brad Smith for 21 yards (tackle by Niko Koutouvides)",-1.180,-2.320
1,3:06,1,10,TAM 49,6,0,Kellen Clemens pass complete short right to Brad Smith for 4 yards (tackle by Kyle Moore),2.320,2.320
1,2:24,2,6,TAM 45,6,0,Thomas Jones left end for no gain (tackle by Quincy Black),2.320,1.620
1,1:48,3,6,TAM 45,6,0,Kellen Clemens pass incomplete short right intended for Dustin Keller,1.620,0.270
1,1:43,4,6,TAM 45,6,0,"Steve Weatherford punts 32 yards, fair catch by Yamon Figurs",0.270,0.320
1,1:34,1,10,TAM 13,6,0,"Penalty on TAM: Illegal Substitution, 5 yards (no play)",-0.320,-0.570
1,1:34,1,15,TAM 8,6,0,"Derrick Ward left guard for no gain (tackle by Shaun Ellis). Derrick Ward fumbles (forced by Shaun Ellis), recovered by Antonio Bryant at TAM-8. Penalty on Donald Penn: Offensive Holding, 4 yards (no play)",-0.570,-0.720
1,1:09,1,19,TAM 4,6,0,Derrick Ward right guard for 1 yard (tackle by Sione Pouha and Marques Douglas),-0.720,-1.360
1,0:29,2,18,TAM 5,6,0,Josh Freeman pass incomplete short right intended for Kellen Winslow,-1.360,-2.360
1,0:24,3,18,TAM 5,6,0,Josh Freeman pass complete short right to Derrick Ward for 7 yards (tackle by Darrelle Revis and Jim Leonhard),-2.360,-2.490
Quarter,Time,Down,ToGo,Location,NYJ,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,11,TAM 12,6,0,"Sam Paulescu punts 43 yards, returned by Jerricho Cotchery for 9 yards (tackle by Jimmy Wilkerson)",-2.490,-2.520
2,14:48,1,10,TAM 46,6,0,Brad Smith right end for 6 yards (tackle by Chris Hovan),2.520,2.790
2,14:24,2,4,TAM 40,6,0,Shonn Greene right guard for 4 yards (tackle by Jimmy Wilkerson and Matt McCoy),2.790,3.180
2,13:50,1,10,TAM 36,6,0,"Shonn Greene right guard for 7 yards (tackle by Barrett Ruud and Matt McCoy). Penalty on Tony Richardson: Offensive Holding, 10 yards (no play)",3.180,2.520
2,13:19,1,20,TAM 46,6,0,Kellen Clemens pass incomplete deep middle intended for Jerricho Cotchery,2.520,1.290
,,,,,,,"TAM challenged the pass completion ruling, and the original play was overturned.",,
2,13:16,2,20,TAM 46,6,0,Kellen Clemens left end for 1 yard (tackle by Tanard Jackson),1.290,0.760
2,12:29,3,19,TAM 45,6,0,Kellen Clemens sacked by Stylez G. White for -3 yards,0.760,0.070
2,12:13,4,22,TAM 48,6,0,"Steve Weatherford punts 35 yards, fair catch by Yamon Figurs",0.070,0.320
2,12:02,1,10,TAM 13,6,0,Josh Freeman sacked by Calvin Pace for -6 yards,-0.320,-1.220
2,11:42,2,16,TAM 7,6,0,Cadillac Williams right guard for no gain (tackle by Shaun Ellis and Bart Scott),-1.220,-2.120
2,10:57,3,16,TAM 7,6,0,Josh Freeman pass incomplete short middle intended for Kellen Winslow,-2.120,-2.490
2,10:51,4,16,TAM 7,6,0,"Sam Paulescu punts 46 yards, fair catch by Jerricho Cotchery",-2.490,-2.060
2,10:43,1,10,NYJ 47,6,0,Thomas Jones right guard for 5 yards (tackle by Kyle Moore),2.060,2.190
2,10:10,2,5,TAM 48,6,0,Thomas Jones left guard for 2 yards (tackle by Barrett Ruud),2.190,1.750
2,9:32,3,3,TAM 46,6,0,Kellen Clemens pass complete deep left to Danny Woodhead for 24 yards,1.750,4.110
2,9:00,1,10,TAM 22,6,0,Thomas Jones middle for 3 yards (tackle by Stylez G. White),4.110,3.970
2,8:23,2,7,TAM 19,6,0,Brad Smith left end for -7 yards (tackle by Tanard Jackson),3.970,2.350
2,7:32,3,14,TAM 26,6,0,"Penalty on Kellen Clemens: Delay of Game, 5 yards (no play)",2.350,1.690
2,7:06,3,19,TAM 31,6,0,Kellen Clemens pass incomplete short left intended for Danny Woodhead,1.690,1.320
2,6:58,4,19,TAM 31,9,0,Jay Feely 49 yard field goal good,1.320,3.000
2,,,,NYJ 30,9,0,"Jay Feely kicks off 63 yards, returned by Yamon Figurs for 16 yards (tackle by Eric Smith)",0.000,0.480
2,6:46,1,10,TAM 23,9,0,Cadillac Williams right guard for 3 yards (tackle by Mike DeVito),0.480,0.340
2,6:08,2,7,TAM 26,9,0,Cadillac Williams left tackle for 2 yards (tackle by David Harris),0.340,-0.100
2,5:29,3,5,TAM 28,9,0,Josh Freeman pass incomplete short middle intended for Kellen Winslow,-0.100,-1.500
2,5:21,4,5,TAM 28,9,0,"Sam Paulescu punts 34 yards, muffed catch by Jerricho Cotchery, recovered by Jerricho Cotchery and returned for no gain",-1.500,-1.730
2,5:10,1,10,NYJ 42,9,0,Thomas Jones middle for 16 yards (tackle by Tanard Jackson),1.730,2.790
2,4:39,1,10,TAM 42,9,0,Thomas Jones middle for 3 yards (tackle by Ryan Sims),2.790,2.650
2,4:06,2,7,TAM 39,9,0,Thomas Jones right guard for 6 yards (tackle by Aqib Talib),2.650,2.740
2,3:28,3,1,TAM 33,15,0,"Thomas Jones right guard for 33 yards, touchdown",2.740,7.000
2,,,,TAM 2,16,0,Jay Feely kicks extra point good,0.000,0.000
2,,,,NYJ 30,16,0,"Jay Feely kicks off 68 yards, returned by Yamon Figurs for 17 yards (tackle by James Ihedigbo)",0.000,0.150
2,3:12,1,10,TAM 19,16,0,Derrick Ward left guard for -2 yards (tackle by Bryan Thomas and Calvin Pace),0.150,-0.720
2,2:34,2,12,TAM 17,16,0,Josh Freeman pass complete short right to Antonio Bryant for 7 yards (tackle by Bart Scott),-0.720,-0.420
2,2:00,3,5,TAM 24,16,0,Josh Freeman sacked by James Ihedigbo for -4 yards,-0.420,-2.030
2,1:23,4,9,TAM 20,16,0,"Sam Paulescu punts 61 yards, returned by Jerricho Cotchery for 19 yards (tackle by John Gilmore)",-2.030,-1.470
2,1:08,1,10,NYJ 38,16,0,Danny Woodhead middle for 8 yards (tackle by Barrett Ruud),1.470,2.000
2,1:03,,,,16,0,Timeout #1 by New York Jets,0.000,2.000
2,1:03,2,2,NYJ 46,16,0,Kellen Clemens pass complete short left to Braylon Edwards for 9 yards (tackle by Elbert Mack),2.000,2.590
2,0:57,1,10,TAM 45,16,0,Danny Woodhead right guard for 5 yards (tackle by Barrett Ruud),2.590,2.720
2,0:52,,,,16,0,Timeout #2 by New York Jets,0.000,2.720
2,0:52,2,5,TAM 40,16,0,Kellen Clemens pass incomplete deep left intended for Braylon Edwards,2.720,2.010
2,0:45,3,5,TAM 40,16,0,Kellen Clemens pass complete short middle to Danny Woodhead for 8 yards (tackle by Matt McCoy),2.010,3.450
2,0:30,1,10,TAM 32,16,0,Kellen Clemens spiked the ball,3.450,2.900
2,0:30,2,10,TAM 32,16,0,Kellen Clemens pass incomplete deep middle intended for Jerricho Cotchery,2.900,2.210
,,,,,,,"Replay Assistant challenged the incomplete pass ruling, and the play was upheld.",,
2,0:22,3,10,TAM 32,16,0,Danny Woodhead left end for 1 yard (tackle by Ronde Barber),2.210,1.320
2,0:16,4,9,TAM 31,19,0,Jay Feely 49 yard field goal good,1.320,3.000
2,,,,NYJ 30,19,0,"Jay Feely kicks off 42 yards, returned by Adam Hayward for 8 yards (tackle by James Ihedigbo)",0.000,1.330
2,0:04,1,10,TAM 36,19,0,Josh Freeman kneels for -1 yards. Penalty on NYJ: Defensive 12 On-field (Declined),1.330,0.660
Quarter,Time,Down,ToGo,Location,NYJ,TAM,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 30,19,0,"Connor Barth kicks off 70 yards, returned by Brad Smith for 38 yards (tackle by Connor Barth). Penalty on Jamaal Westerman: Illegal Block Above the , 8 yards",0.000,-0.380
3,14:52,1,10,NYJ 8,19,0,Thomas Jones middle for 2 yards (tackle by Jimmy Wilkerson and Tanard Jackson),-0.380,-0.630
3,14:10,2,8,NYJ 10,19,0,Thomas Jones left guard for 3 yards (tackle by Quincy Black),-0.630,-0.840
3,13:30,3,5,NYJ 13,19,0,Kellen Clemens pass incomplete short right intended for Dustin Keller,-0.840,-2.490
3,13:24,4,5,NYJ 13,19,0,"Steve Weatherford punts 43 yards, returned by Yamon Figurs for 9 yards (tackle by Eric Smith)",-2.490,-2.460
3,13:13,1,10,NYJ 47,19,0,Josh Freeman pass incomplete short right intended for Earnest Graham,2.460,1.910
3,13:08,2,10,NYJ 47,19,0,Josh Freeman pass complete short left to John Gilmore for 5 yards (tackle by Bart Scott),1.910,1.880
3,12:27,3,5,NYJ 42,19,0,Josh Freeman pass incomplete short right intended for Antonio Bryant,1.880,0.460
3,12:21,4,5,NYJ 42,19,0,"Sam Paulescu punts 42 yards, touchback",0.460,-0.280
3,12:07,1,10,NYJ 20,19,0,Shonn Greene right guard for 3 yards (tackle by Matt McCoy),0.280,0.140
3,11:30,2,7,NYJ 23,19,0,Shonn Greene left tackle for 2 yards (tackle by Matt McCoy),0.140,-0.300
3,10:48,3,5,NYJ 25,19,0,"Shonn Greene middle for 25 yards (tackle by Ronde Barber). Shonn Greene fumbles (forced by Ronde Barber), recovered by Aqib Talib at 50 (tackle by Shonn Greene). Penalty on Brandon Moore: Offensive Holding (Declined)",-0.300,-1.930
3,10:36,1,10,TAM 45,19,0,Cadillac Williams left guard for 4 yards (tackle by Marques Douglas),1.930,1.920
3,9:58,2,6,TAM 49,19,0,Cadillac Williams middle for -3 yards (tackle by Calvin Pace),1.920,0.830
3,9:18,3,9,TAM 46,19,0,"Josh Freeman sacked by Donald Strickland for -2 yards. Penalty on Bart Scott: Unnecessary Roughness, 15 yards",0.830,2.850
3,9:04,1,10,NYJ 41,19,0,Cadillac Williams right tackle for 6 yards (tackle by Howard Green and Marques Douglas),2.850,3.120
3,8:23,2,4,NYJ 35,19,0,Cadillac Williams middle for 2 yards (tackle by Howard Green and Kerry Rhodes),3.120,2.680
3,7:45,3,2,NYJ 33,19,0,Cadillac Williams right tackle for 1 yard (tackle by Bart Scott),2.680,1.310
3,7:03,4,1,NYJ 32,19,0,Earnest Graham right guard for 2 yards (tackle by Howard Green),1.310,3.580
3,6:20,1,10,NYJ 30,19,0,Josh Freeman pass incomplete deep right intended for Brian Clark,3.580,3.030
3,6:13,2,10,NYJ 30,19,0,Cadillac Williams middle for 2 yards (tackle by Calvin Pace),3.030,2.610
3,5:32,3,8,NYJ 28,19,0,Josh Freeman pass complete short left to Brian Clark for 3 yards (tackle by Darrelle Revis),2.610,1.850
3,4:50,4,5,NYJ 25,19,3,Connor Barth 43 yard field goal good,1.850,3.000
3,,,,TAM 30,19,3,Connor Barth kicks onside 12 yards (onside kick successful),0.000,1.730
3,4:41,1,10,TAM 42,19,3,Derrick Ward middle for 2 yards (tackle by Bryan Thomas),1.730,1.460
3,4:02,2,8,TAM 44,19,3,Josh Freeman for 6 yards,1.460,1.550
3,3:20,,,,19,3,Timeout #1 by Tampa Bay Buccaneers,0.000,1.550
3,3:20,3,2,,19,3,Josh Freeman pass incomplete short right intended for Kellen Winslow (defended by Sione Pouha),1.550,-0.060
3,3:13,4,2,,19,3,Sam Paulescu punts 47 yards,-0.060,0.380
3,3:01,1,10,NYJ 3,19,3,"Thomas Jones middle for no gain (tackle by Roy Miller). Penalty on Roy Miller: Defensive Holding, 5 yards (no play)",-0.380,-0.380
3,2:39,1,10,NYJ 8,19,3,Thomas Jones middle for no gain (tackle by Sabby Piscitelli),-0.380,-0.780
3,1:57,2,10,NYJ 8,19,3,Kellen Clemens pass complete short left to Matthew Mulligan for 2 yards (tackle by Quincy Black),-0.780,-1.190
3,1:14,3,8,NYJ 10,19,3,Kellen Clemens pass complete short left to Braylon Edwards for 9 yards (tackle by Ronde Barber),-1.190,0.150
3,0:32,1,10,NYJ 19,19,3,Kellen Clemens pass complete deep right to Jerricho Cotchery for 26 yards (tackle by Aqib Talib),0.150,1.930
Quarter,Time,Down,ToGo,Location,NYJ,TAM,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,NYJ 45,19,3,Brad Smith left end for 3 yards (tackle by Stylez G. White),1.930,1.790
4,14:15,2,7,NYJ 48,19,3,Thomas Jones middle for -3 yards (tackle by Aqib Talib),1.790,0.700
4,13:33,3,10,NYJ 45,19,3,Kellen Clemens pass complete deep middle to Braylon Edwards for 19 yards (tackle by Tanard Jackson),0.700,3.180
4,12:49,1,10,TAM 36,19,3,Thomas Jones middle for 2 yards (tackle by Ronde Barber and Matt McCoy),3.180,2.910
4,12:11,2,8,TAM 34,19,3,Kellen Clemens pass complete short right to Dustin Keller for 3 yards (tackle by Elbert Mack),2.910,2.610
4,11:28,3,5,TAM 31,19,3,Kellen Clemens pass incomplete short right intended for Jerricho Cotchery,2.610,1.350
4,11:23,4,5,TAM 31,19,3,Jay Feely 49 yard field goal no good,1.350,-1.530
4,11:18,1,10,TAM 39,19,3,Josh Freeman pass complete short left to Kellen Winslow for 6 yards (tackle by Eric Smith),1.530,1.800
4,10:38,2,4,TAM 45,19,3,"Derrick Ward right end for 21 yards (tackle by Eric Smith). Penalty on John Gilmore: Offensive Holding, 10 yards (no play)",1.800,0.450
4,10:08,2,14,TAM 35,19,3,Josh Freeman left end for 16 yards (tackle by Calvin Pace),0.450,2.320
4,9:35,1,10,NYJ 49,19,3,Josh Freeman pass incomplete short right intended for Maurice Stovall,2.320,1.780
4,9:31,2,10,NYJ 49,19,3,Josh Freeman pass incomplete short middle intended for Kellen Winslow,1.780,1.090
4,9:26,3,10,NYJ 49,19,3,Josh Freeman pass incomplete short left intended for Brian Clark is intercepted by Darrelle Revis at NYJ-39 and returned for 54 yards,1.090,-5.600
4,9:14,1,7,TAM 7,25,3,"Thomas Jones left end for 7 yards, touchdown",5.600,7.000
4,,,,TAM 2,26,3,Jay Feely kicks extra point good,0.000,0.000
4,,,,NYJ 30,26,3,"Jay Feely kicks off 61 yards, returned by Yamon Figurs for 27 yards (tackle by Wallace Wright)",0.000,1.330
4,8:58,1,10,TAM 36,26,3,Josh Freeman pass complete short middle to Kellen Winslow for 8 yards (tackle by Donald Strickland),1.330,1.870
4,8:32,2,2,TAM 44,26,3,Josh Freeman pass complete short right to Brian Clark for 12 yards,1.870,2.650
4,8:08,1,10,NYJ 44,26,3,Josh Freeman pass incomplete deep left intended for Jerramy Stevens,2.650,2.110
4,8:01,2,10,NYJ 44,26,3,Josh Freeman pass complete short left to Brian Clark for 5 yards (tackle by Lito Sheppard),2.110,2.080
4,7:28,3,5,NYJ 39,26,3,Cadillac Williams right guard for -1 yards (tackle by Bart Scott),2.080,0.590
4,7:04,4,6,NYJ 40,26,3,Josh Freeman pass incomplete short right intended for Antonio Bryant (defended by Darrelle Revis). Penalty on TAM: Illegal Substitution (Declined),0.590,-1.600
4,6:56,1,10,NYJ 40,26,3,Thomas Jones right tackle for 5 yards (tackle by Dre Moore),1.600,1.730
4,6:20,2,5,NYJ 45,26,3,Brad Smith right end for 2 yards (tackle by Kyle Moore and Tanard Jackson),1.730,1.290
4,5:39,3,3,NYJ 47,26,3,Thomas Jones right tackle for 1 yard (tackle by Tim Crowder and Tanard Jackson),1.290,-0.190
4,4:54,4,2,NYJ 48,26,3,"Steve Weatherford punts 52 yards, touchback. Penalty on Eric Smith: Offensive Holding, 10 yards",-0.190,-0.940
4,4:44,1,10,TAM 30,26,3,Josh Freeman pass incomplete short middle intended for Jerramy Stevens,0.940,0.390
4,4:40,2,10,TAM 30,26,3,Josh Freeman pass complete short middle to Antonio Bryant for 15 yards (tackle by Darrelle Revis and Jim Leonhard),0.390,1.930
4,4:15,1,10,TAM 45,26,3,Josh Freeman pass incomplete deep right intended for Maurice Stovall is intercepted by Kerry Rhodes at NYJ-26,1.930,-0.670
4,4:06,1,10,NYJ 26,26,3,Thomas Jones right guard for -1 yards (tackle by Dre Moore),0.670,-0.010
4,3:23,2,11,NYJ 25,26,3,Thomas Jones right guard for 4 yards (tackle by Barrett Ruud and Tim Crowder),-0.010,-0.160
4,2:40,3,7,NYJ 29,26,3,"Thomas Jones right guard for 2 yards (tackle by Barrett Ruud). Penalty on Braylon Edwards: Unnecessary Roughness, 15 yards",-0.160,-2.390
4,2:34,4,20,NYJ 16,26,3,"Steve Weatherford punts 45 yards, returned by Yamon Figurs for 12 yards (tackle by Wallace Wright)",-2.390,-2.320
4,2:23,1,10,NYJ 49,26,3,Josh Freeman pass complete short middle to Derrick Ward for 4 yards (tackle by Calvin Pace),2.320,2.320
4,2:00,2,6,NYJ 45,26,3,Josh Freeman pass complete short right to Kellen Winslow for 7 yards (tackle by Kerry Rhodes),2.320,3.050
4,1:36,1,10,NYJ 38,26,3,Josh Freeman pass complete short right to Maurice Stovall for 4 yards (tackle by Lito Sheppard),3.050,3.050
4,1:28,2,6,NYJ 34,26,3,Josh Freeman pass incomplete,3.050,2.340
4,1:21,3,6,NYJ 34,26,3,Josh Freeman pass complete short left to Maurice Stovall for 5 yards (tackle by Bart Scott),2.340,1.620
4,0:45,4,1,NYJ 29,26,3,"Penalty on Kellen Winslow: False Start, 5 yards (no play)",1.620,1.070
4,0:42,,,,26,3,Timeout #2 by Tampa Bay Buccaneers,0.000,1.070
4,0:42,4,6,NYJ 34,26,3,Josh Freeman pass incomplete short left intended for Brian Clark,1.070,-1.200
4,0:36,1,10,NYJ 34,26,3,Kellen Clemens kneels for -1 yards,1.200,0.520
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
